,Major Category,Borough,LSOA,Population,Mean,Normalised Deviation,Inverse Normalised Deviation
42555,Vehicle Offences,Wandsworth,E01004588,6090,46.7,1601.81,0.00062
40209,Vehicle Offences,Havering,E01002368,7536,50.5,1600.85,0.00062
41071,Vehicle Offences,Lewisham,E01003193,7128,44.3,1616.95,0.00062
40420,Vehicle Offences,Hounslow,E01002565,7620,47.3,1627.12,0.00061
42347,Vehicle Offences,Waltham Forest,E01004377,7488,47.8,1644.32,0.00061
42443,Vehicle Offences,Wandsworth,E01004472,5343,46.2,1663.2,0.0006
40445,Vehicle Offences,Hounslow,E01002592,6489,48.9,1696.83,0.00059
42211,Vehicle Offences,Tower Hamlets,E01004307,7155,46.7,1685.87,0.00059
38500,Vehicle Offences,Bromley,E01000719,6339,49.7,1699.74,0.00059
39345,Vehicle Offences,Enfield,E01001555,6687,51.1,1686.3,0.00059
41516,Vehicle Offences,Newham,E01033581,5808,46.0,1683.6,0.00059
42582,Vehicle Offences,Wandsworth,E01004617,5745,48.2,1725.56,0.00058
38075,Vehicle Offences,Barnet,E01000316,9120,50.4,1728.72,0.00058
39705,Vehicle Offences,Hammersmith and Fulham,E01001876,7077,47.2,1732.24,0.00058
41862,Vehicle Offences,Southwark,E01003945,5361,49.4,1733.94,0.00058
40343,Vehicle Offences,Hillingdon,E01002497,9900,51.0,1718.7,0.00058
37970,Vehicle Offences,Barnet,E01000210,4635,49.9,1751.49,0.00057
37800,Vehicle Offences,Barking and Dagenham,E01000045,5187,50.7,1749.15,0.00057
39353,Vehicle Offences,Enfield,E01001564,4998,49.2,1766.28,0.00057
39844,Vehicle Offences,Haringey,E01002010,4896,47.9,1762.72,0.00057
39757,Vehicle Offences,Hammersmith and Fulham,E01001928,5445,47.6,1765.96,0.00057
40748,Vehicle Offences,Kensington and Chelsea,E01002877,6690,48.4,1795.64,0.00056
40766,Vehicle Offences,Kensington and Chelsea,E01002896,4713,48.8,1795.84,0.00056
38522,Vehicle Offences,Bromley,E01000742,6288,48.8,1781.2,0.00056
40912,Vehicle Offences,Lambeth,E01003039,6081,48.5,1770.25,0.00056
41561,Vehicle Offences,Redbridge,E01003646,5700,48.0,1776.0,0.00056
39344,Vehicle Offences,Enfield,E01001554,5334,49.3,1809.31,0.00055
38576,Vehicle Offences,Bromley,E01000797,6588,49.0,1817.9,0.00055
39551,Vehicle Offences,Hackney,E01001734,5565,50.6,1831.72,0.00055
37962,Vehicle Offences,Barnet,E01000202,5067,48.1,1837.42,0.00054
41688,Vehicle Offences,Redbridge,E01003778,5832,54.2,1864.48,0.00054
42395,Vehicle Offences,Waltham Forest,E01004425,5880,49.1,1855.98,0.00054
39937,Vehicle Offences,Haringey,E01032575,6375,50.0,1855.0,0.00054
41693,Vehicle Offences,Redbridge,E01003783,7647,50.9,1837.49,0.00054
42545,Vehicle Offences,Wandsworth,E01004577,5679,49.2,1899.12,0.00053
41698,Vehicle Offences,Redbridge,E01003788,5562,53.3,1870.83,0.00053
40937,Vehicle Offences,Lambeth,E01003064,4305,50.7,1875.9,0.00053
40295,Vehicle Offences,Hillingdon,E01002449,8528,48.1,1895.14,0.00053
39820,Vehicle Offences,Haringey,E01001986,4794,50.3,1871.16,0.00053
41488,Vehicle Offences,Newham,E01003604,6858,53.3,1886.82,0.00053
