,Borough,LSOA,Major Category,Population,Mean,Standard Deviation,Normalised Deviation
39519,Southwark,E01003990,Violence Against the Person,4638,90.3,1.00063,4803.96
46364,Wandsworth,E01004645,Violence Against the Person,4282,83.4,1.00063,4336.8
26219,Hounslow,E01002661,Violence Against the Person,4704,115.8,1.00063,6693.24
11334,Croydon,E01001180,Violence Against the Person,3978,79.3,1.00063,4052.23
34208,Merton,E01003452,Violence Against the Person,4432,83.2,1.00063,4318.08
32974,Lewisham,E01003339,Violence Against the Person,5031,56.7,1.00063,2591.19
30758,Lambeth,E01003111,Violence Against the Person,4000,67.9,1.00062,3320.31
44583,Waltham Forest,E01004455,Violence Against the Person,5397,104.4,1.00062,5877.72
44307,Waltham Forest,E01004425,Violence Against the Person,3920,82.7,1.00062,4300.4
35269,Newham,E01003564,Violence Against the Person,4740,74.7,1.00062,3757.41
21520,Harrow,E01002179,Violence Against the Person,5216,147.5,1.00062,9292.5
21126,Harrow,E01002135,Violence Against the Person,3990,75.3,1.00062,3802.65
26816,Islington,E01002706,Violence Against the Person,4066,92.7,1.00062,5024.34
13499,Ealing,E01034029,Violence Against the Person,4449,85.9,1.00062,4526.93
6153,Brent,E01033456,Violence Against the Person,5272,109.0,1.00062,6202.1
6044,Brent,E01000634,Violence Against the Person,5268,87.1,1.00062,4607.59
39663,Southwark,E01004006,Violence Against the Person,3728,70.8,1.00062,3511.68
31811,Lewisham,E01003213,Violence Against the Person,3920,71.3,1.00061,3557.87
14677,Enfield,E01001512,Violence Against the Person,4578,69.9,1.00061,3474.03
39162,Southwark,E01003941,Violence Against the Person,3928,83.7,1.00061,4394.25
26068,Hounslow,E01002643,Violence Against the Person,5468,78.6,1.00061,4040.04
17608,Hackney,E01001798,Violence Against the Person,4726,106.8,1.00061,6087.6
38936,Southwark,E01003915,Violence Against the Person,3708,76.6,1.00061,3921.92
31254,Lambeth,E01003162,Violence Against the Person,3754,76.8,1.00061,3916.8
25796,Hounslow,E01002614,Violence Against the Person,4206,89.1,1.0006,4802.49
