,Major Category,LSOA,Borough,Mean,Standard Deviation,Normalised Deviation
21420,Possession of Weapons,E01002883,Kensington and Chelsea,16.9,51.0,0.33
21912,Possession of Weapons,E01003558,Newham,16.9,33.9,0.5
21300,Possession of Weapons,E01002734,Islington,16.9,30.7,0.55
21521,Possession of Weapons,E01003046,Lambeth,16.8,36.9,0.46
19569,Possession of Weapons,E01000141,Barnet,16.8,28.8,0.58
21594,Possession of Weapons,E01003128,Lambeth,16.8,38.7,0.43
21562,Possession of Weapons,E01003090,Lambeth,16.7,26.9,0.62
21503,Possession of Weapons,E01003018,Lambeth,16.7,31.1,0.54
21638,Possession of Weapons,E01003184,Lambeth,16.6,38.7,0.43
22896,Possession of Weapons,E01033938,Brent,16.6,39.2,0.42
21724,Possession of Weapons,E01003286,Lewisham,16.6,33.9,0.49
21572,Possession of Weapons,E01003101,Lambeth,16.5,34.3,0.48
20878,Possession of Weapons,E01002077,Haringey,16.4,28.8,0.57
21908,Possession of Weapons,E01003553,Newham,16.4,31.9,0.51
22886,Possession of Weapons,E01033927,Enfield,16.4,29.4,0.56
21952,Possession of Weapons,E01003618,Newham,16.3,29.1,0.56
20432,Possession of Weapons,E01001465,Enfield,16.3,37.6,0.43
22165,Possession of Weapons,E01003972,Southwark,16.3,33.0,0.49
22865,Possession of Weapons,E01033878,Southwark,16.3,44.3,0.37
22146,Possession of Weapons,E01003939,Southwark,16.2,30.1,0.54
22699,Possession of Weapons,E01004735,Westminster,16.1,29.0,0.56
21525,Possession of Weapons,E01003050,Lambeth,16.1,34.6,0.47
22795,Possession of Weapons,E01033486,Islington,16.1,40.8,0.39
21640,Possession of Weapons,E01003186,Lambeth,16.0,26.3,0.61
20604,Possession of Weapons,E01001696,Greenwich,16.0,26.0,0.62
20803,Possession of Weapons,E01001971,Haringey,15.9,29.4,0.54
20843,Possession of Weapons,E01002038,Haringey,15.8,29.5,0.54
20810,Possession of Weapons,E01001979,Haringey,15.8,27.0,0.59
