,Major Category,LSOA,Borough,Mean,Standard Deviation,Normalised Deviation
42740,Vehicle Offences,E01035711,Camden,65.6,42.7,1.54
41378,Vehicle Offences,E01003795,Redbridge,65.5,44.5,1.47
42121,Vehicle Offences,E01004604,Wandsworth,65.4,43.8,1.49
40199,Vehicle Offences,E01002562,Hounslow,65.4,44.2,1.48
40528,Vehicle Offences,E01002912,Kensington and Chelsea,65.4,45.2,1.45
39693,Vehicle Offences,E01002034,Haringey,65.4,42.6,1.54
40151,Vehicle Offences,E01002507,Hillingdon,65.4,40.4,1.62
42611,Vehicle Offences,E01034484,Redbridge,65.0,41.5,1.57
42681,Vehicle Offences,E01035652,Islington,64.8,55.1,1.18
39555,Vehicle Offences,E01001893,Hammersmith and Fulham,64.7,62.2,1.04
40135,Vehicle Offences,E01002489,Hillingdon,64.7,55.0,1.18
38615,Vehicle Offences,E01000894,Camden,64.5,51.0,1.26
37840,Vehicle Offences,E01000087,Barking and Dagenham,64.5,50.9,1.27
40518,Vehicle Offences,E01002902,Kensington and Chelsea,64.3,42.7,1.51
41071,Vehicle Offences,E01003469,Merton,64.2,45.5,1.41
41550,Vehicle Offences,E01003981,Southwark,64.0,50.1,1.28
42559,Vehicle Offences,E01034208,Newham,63.9,40.1,1.59
41113,Vehicle Offences,E01003517,Newham,63.9,42.4,1.51
39726,Vehicle Offences,E01002068,Haringey,63.7,41.7,1.53
40162,Vehicle Offences,E01002521,Hillingdon,63.6,70.7,0.9
42694,Vehicle Offences,E01035665,Tower Hamlets,63.4,53.6,1.18
38945,Vehicle Offences,E01001237,Ealing,62.8,48.6,1.29
40182,Vehicle Offences,E01002544,Hillingdon,62.4,46.2,1.35
42200,Vehicle Offences,E01004693,Westminster,62.1,46.2,1.34
42000,Vehicle Offences,E01004477,Wandsworth,62.0,40.2,1.54
40178,Vehicle Offences,E01002540,Hillingdon,62.0,43.3,1.43
38631,Vehicle Offences,E01000910,Camden,62.0,48.3,1.28
39743,Vehicle Offences,E01002086,Haringey,61.9,42.3,1.46
42572,Vehicle Offences,E01034221,Newham,61.9,46.6,1.33
39733,Vehicle Offences,E01002075,Haringey,61.7,52.9,1.17
39561,Vehicle Offences,E01001899,Hammersmith and Fulham,61.5,61.0,1.01
40092,Vehicle Offences,E01002446,Hillingdon,61.5,44.6,1.38
39212,Vehicle Offences,E01001511,Enfield,61.4,39.0,1.57
39626,Vehicle Offences,E01001966,Haringey,61.3,44.2,1.39
37809,Vehicle Offences,E01000056,Barking and Dagenham,61.2,47.0,1.3
42210,Vehicle Offences,E01004703,Westminster,61.2,39.3,1.56
39092,Vehicle Offences,E01001387,Ealing,61.0,45.7,1.33
42192,Vehicle Offences,E01004682,Westminster,61.0,56.3,1.08
39509,Vehicle Offences,E01001846,Hackney,60.9,48.9,1.25
42277,Vehicle Offences,E01032572,Ealing,60.9,39.4,1.55
38593,Vehicle Offences,E01000872,Camden,60.9,43.6,1.4
40136,Vehicle Offences,E01002490,Hillingdon,60.7,40.9,1.48
42393,Vehicle Offences,E01033706,Hackney,60.7,39.6,1.53
40212,Vehicle Offences,E01002577,Hounslow,60.5,42.5,1.42
42490,Vehicle Offences,E01034030,Ealing,60.4,35.6,1.7
41956,Vehicle Offences,E01004430,Waltham Forest,60.2,34.0,1.77
39204,Vehicle Offences,E01001501,Enfield,60.2,37.4,1.61
38457,Vehicle Offences,E01000728,Bromley,60.1,51.5,1.17
41098,Vehicle Offences,E01003499,Newham,60.0,38.3,1.57
39610,Vehicle Offences,E01001950,Hammersmith and Fulham,59.9,43.5,1.38
42206,Vehicle Offences,E01004699,Westminster,59.7,40.6,1.47
42086,Vehicle Offences,E01004566,Wandsworth,59.7,39.6,1.51
40478,Vehicle Offences,E01002861,Kensington and Chelsea,59.4,44.7,1.33
