,LSOA,Borough,Major Category,Population,Mean,Normalised Deviation,Regression,Flat
12848,E01001412,Enfield,Burglary,3562,87.9,6425.49,0.112,8.928571428571429
44315,E01033712,Hackney,Burglary,3078,88.5,6478.2,0.113,8.849557522123893
45212,E01034030,Ealing,Burglary,3668,86.3,6446.61,0.115,8.695652173913043
42554,E01004712,Westminster,Burglary,2988,99.4,7673.68,0.115,8.695652173913043
25660,E01002835,Kensington and Chelsea,Burglary,2808,104.5,7858.4,0.116,8.620689655172413
44635,E01033867,Southwark,Burglary,3102,102.0,7721.4,0.117,8.547008547008547
42738,E01004731,Westminster,Burglary,3992,105.1,8029.64,0.118,8.474576271186441
42439,E01004699,Westminster,Burglary,3490,122.5,9628.5,0.122,8.19672131147541
8238,E01000916,Camden,Burglary,3744,135.4,11197.58,0.123,8.130081300813009
25514,E01002818,Kensington and Chelsea,Burglary,2802,112.1,9024.05,0.124,8.064516129032258
35275,E01003876,Richmond upon Thames,Burglary,3754,98.4,8127.84,0.125,8.0
42303,E01004682,Westminster,Burglary,2584,118.1,9625.15,0.126,7.936507936507937
42564,E01004713,Westminster,Burglary,2614,126.9,11154.51,0.129,7.751937984496124
7750,E01000863,Camden,Burglary,2958,138.2,11553.52,0.129,7.751937984496124
43923,E01033489,Islington,Burglary,2842,116.3,10036.69,0.131,7.633587786259541
45486,E01034150,Croydon,Burglary,2624,123.1,10869.73,0.137,7.2992700729927
24639,E01002724,Islington,Burglary,3886,159.2,15187.68,0.139,7.194244604316546
42429,E01004698,Westminster,Burglary,2642,120.7,10923.35,0.139,7.194244604316546
42996,E01004762,Westminster,Burglary,3158,140.6,13033.62,0.144,6.944444444444445
42778,E01004735,Westminster,Burglary,4088,216.0,21729.6,0.147,6.802721088435375
7651,E01000851,Camden,Burglary,2944,161.8,16034.38,0.151,6.622516556291391
44266,E01033706,Hackney,Burglary,2854,162.8,16263.72,0.153,6.5359477124183005
45084,E01033938,Brent,Burglary,2554,133.8,13460.28,0.156,6.410256410256411
8258,E01000918,Camden,Burglary,3610,178.4,18357.36,0.157,6.369426751592357
44118,E01033594,Westminster,Burglary,3028,205.9,22319.56,0.164,6.097560975609756
42115,E01004657,Westminster,Burglary,2462,147.4,16464.58,0.172,5.813953488372094
7641,E01000850,Camden,Burglary,2822,188.4,21948.6,0.178,5.617977528089888
42574,E01004714,Westminster,Burglary,3334,220.0,26290.0,0.185,5.405405405405405
44276,E01033708,Hackney,Burglary,3766,292.1,37359.59,0.19,5.2631578947368425
43016,E01004765,Westminster,Burglary,3724,261.4,34687.78,0.196,5.1020408163265305
7671,E01000855,Camden,Burglary,2654,219.0,30265.8,0.2,5.0
8269,E01000919,Camden,Burglary,2918,223.2,29239.2,0.203,4.926108374384236
8218,E01000914,Camden,Burglary,2804,282.8,40383.84,0.205,4.878048780487805
42788,E01004736,Westminster,Burglary,3094,263.5,38866.25,0.225,4.444444444444445
43006,E01004763,Westminster,Burglary,4062,333.1,49198.87,0.227,4.405286343612334
42768,E01004734,Westminster,Burglary,3398,320.4,47419.2,0.229,4.366812227074235
42986,E01004761,Westminster,Burglary,2434,329.6,57844.8,0.256,3.90625
47674,E01035716,Westminster,Burglary,4402,550.0,130130.0,0.363,2.7548209366391188
