,Borough,LSOA,Major Category,Population,Mean,Standard Deviation,Normalised Deviation
8714,Camden,E01000904,Burglary,4170,53.7,41.9,1.28
9039,Camden,E01000938,Burglary,2766,93.4,73.1,1.28
9357,Camden,E01035707,Burglary,4926,58.2,45.5,1.28
46901,Westminster,E01004693,Burglary,2412,95.1,74.3,1.28
28845,Kensington and Chelsea,E01002909,Burglary,4266,41.4,32.3,1.28
28019,Kensington and Chelsea,E01002821,Burglary,2264,103.7,81.2,1.28
8413,Camden,E01000872,Burglary,3496,72.7,56.6,1.28
14097,Enfield,E01001450,Burglary,4730,41.5,32.3,1.28
8304,Camden,E01000859,Burglary,2972,74.8,58.4,1.28
27735,Islington,E01002805,Burglary,2926,77.2,60.2,1.28
11581,Croydon,E01034149,Burglary,4222,47.1,37.1,1.27
4923,Brent,E01000510,Burglary,3400,58.0,45.7,1.27
6115,Brent,E01000643,Burglary,4400,40.2,31.6,1.27
30144,Lambeth,E01003047,Burglary,3596,88.5,69.6,1.27
20083,Haringey,E01002031,Burglary,3746,56.5,44.6,1.27
34635,Newham,E01003497,Burglary,3366,55.0,43.3,1.27
3039,Barnet,E01000323,Burglary,4772,42.4,33.3,1.27
28634,Kensington and Chelsea,E01002886,Burglary,2620,90.0,70.7,1.27
39636,Southwark,E01004004,Burglary,5224,35.2,27.8,1.27
3909,Bexley,E01000403,Burglary,4764,46.4,36.5,1.27
32629,Lewisham,E01003303,Burglary,3486,64.6,51.4,1.26
16971,Hackney,E01001724,Burglary,5712,29.3,23.3,1.26
14580,Enfield,E01001501,Burglary,4390,49.6,39.4,1.26
2919,Barnet,E01000310,Burglary,4388,54.8,43.5,1.26
27136,Islington,E01002740,Burglary,4510,53.5,42.3,1.26
45088,Wandsworth,E01004506,Burglary,4402,50.0,39.7,1.26
24103,Hillingdon,E01002444,Burglary,3806,72.6,57.6,1.26
17245,Hackney,E01001756,Burglary,4088,63.0,50.1,1.26
