,LSOA,Major Category,Borough,Population,Mean,Normalised Deviation,Regression,Flat
27565,E01002635,Violence Against the Person,Hounslow,2020,130.2,13189.26,0.143,6.993006993006993
36574,E01003488,Violence Against the Person,Newham,2004,150.3,14428.8,0.143,6.993006993006993
25134,E01002400,Violence Against the Person,Hillingdon,1995,147.4,13708.2,0.143,6.993006993006993
27488,E01002628,Violence Against the Person,Hounslow,2202,173.6,17498.88,0.143,6.993006993006993
5279,E01000503,Violence Against the Person,Brent,2112,137.0,13727.4,0.143,6.993006993006993
32372,E01003092,Violence Against the Person,Lambeth,2333,140.4,13267.8,0.143,6.993006993006993
32559,E01003111,Violence Against the Person,Lambeth,2000,135.9,13155.12,0.143,6.993006993006993
5026,E01000477,Violence Against the Person,Brent,2318,157.8,15448.62,0.144,6.944444444444445
33670,E01003213,Violence Against the Person,Lewisham,1960,142.6,14074.62,0.144,6.944444444444445
50687,E01033586,Violence Against the Person,Newham,2098,149.2,16053.92,0.144,6.944444444444445
37586,E01003584,Violence Against the Person,Newham,1932,127.9,12048.18,0.144,6.944444444444445
27136,E01002595,Violence Against the Person,Hounslow,2274,181.9,19117.69,0.144,6.944444444444445
47915,E01004601,Violence Against the Person,Wandsworth,2510,117.9,11153.34,0.144,6.944444444444445
35386,E01003378,Violence Against the Person,Merton,2249,139.7,14053.82,0.144,6.944444444444445
27884,E01002668,Violence Against the Person,Hounslow,2278,152.4,15727.68,0.145,6.8965517241379315
26828,E01002565,Violence Against the Person,Hounslow,2540,183.6,19406.52,0.145,6.8965517241379315
912,E01000094,Violence Against the Person,Barking and Dagenham,2460,144.7,16481.33,0.145,6.8965517241379315
12319,E01001173,Violence Against the Person,Croydon,2758,162.5,16835.0,0.145,6.8965517241379315
38598,E01003685,Violence Against the Person,Redbridge,1922,140.2,14132.16,0.145,6.8965517241379315
14310,E01001358,Violence Against the Person,Ealing,1959,134.2,12628.22,0.145,6.8965517241379315
725,E01000076,Violence Against the Person,Barking and Dagenham,2175,135.0,13405.5,0.145,6.8965517241379315
26575,E01002541,Violence Against the Person,Hillingdon,1972,147.4,14238.84,0.145,6.8965517241379315
21460,E01002056,Violence Against the Person,Haringey,2920,173.2,18584.36,0.145,6.8965517241379315
12473,E01001187,Violence Against the Person,Croydon,1972,140.8,14094.08,0.145,6.8965517241379315
35771,E01003413,Violence Against the Person,Merton,2083,141.8,14109.1,0.145,6.8965517241379315
45418,E01004366,Violence Against the Person,Waltham Forest,1957,144.6,14503.38,0.146,6.849315068493151
17544,E01001674,Violence Against the Person,Greenwich,2242,158.2,15487.78,0.146,6.849315068493151
44923,E01004319,Violence Against the Person,Tower Hamlets,2540,146.6,14190.88,0.146,6.849315068493151
43757,E01004182,Violence Against the Person,Sutton,1793,143.4,14641.14,0.146,6.849315068493151
44714,E01004296,Violence Against the Person,Tower Hamlets,2480,156.8,17906.56,0.146,6.849315068493151
44329,E01004245,Violence Against the Person,Tower Hamlets,3004,157.2,17323.44,0.146,6.849315068493151
43625,E01004170,Violence Against the Person,Sutton,2204,146.5,16349.4,0.146,6.849315068493151
42030,E01004019,Violence Against the Person,Southwark,2111,136.0,12879.2,0.147,6.802721088435375
41447,E01003953,Violence Against the Person,Southwark,1996,155.9,14935.22,0.147,6.802721088435375
23484,E01002247,Violence Against the Person,Havering,2495,148.5,15741.0,0.147,6.802721088435375
33813,E01003226,Violence Against the Person,Lewisham,1835,137.8,13890.24,0.147,6.802721088435375
45209,E01004347,Violence Against the Person,Waltham Forest,2173,132.9,12612.21,0.147,6.802721088435375
28038,E01002682,Violence Against the Person,Hounslow,2333,167.9,16554.94,0.147,6.802721088435375
51919,E01033944,Violence Against the Person,Haringey,2528,199.9,23468.26,0.147,6.802721088435375
15157,E01001436,Violence Against the Person,Enfield,1971,149.8,16433.06,0.147,6.802721088435375
14365,E01001363,Violence Against the Person,Ealing,2029,133.1,12671.12,0.147,6.802721088435375
44186,E01004230,Violence Against the Person,Tower Hamlets,2238,160.9,15575.12,0.148,6.756756756756757
43284,E01004138,Violence Against the Person,Sutton,1794,140.3,13412.68,0.148,6.756756756756757
8425,E01000802,Violence Against the Person,Bromley,1856,131.8,12784.6,0.148,6.756756756756757
27807,E01002660,Violence Against the Person,Hounslow,2098,155.3,14924.33,0.148,6.756756756756757
39357,E01003757,Violence Against the Person,Redbridge,2169,132.6,14214.72,0.148,6.756756756756757
6093,E01000580,Violence Against the Person,Brent,2090,170.0,17459.0,0.149,6.7114093959731544
37124,E01003542,Violence Against the Person,Newham,2224,164.8,16232.8,0.149,6.7114093959731544
38906,E01003714,Violence Against the Person,Redbridge,2412,168.0,17841.6,0.149,6.7114093959731544
37575,E01003583,Violence Against the Person,Newham,2101,126.8,12426.4,0.149,6.7114093959731544
46089,E01004427,Violence Against the Person,Waltham Forest,1979,150.7,14557.62,0.149,6.7114093959731544
37036,E01003534,Violence Against the Person,Newham,2364,156.3,15239.25,0.149,6.7114093959731544
37135,E01003543,Violence Against the Person,Newham,2338,182.4,18732.48,0.149,6.7114093959731544
32955,E01003147,Violence Against the Person,Lambeth,2063,132.9,12891.3,0.149,6.7114093959731544
37102,E01003540,Violence Against the Person,Newham,2054,175.0,17447.5,0.149,6.7114093959731544
7820,E01000746,Violence Against the Person,Bromley,2021,142.0,13703.0,0.149,6.7114093959731544
10570,E01001009,Violence Against the Person,Croydon,2016,138.9,14417.82,0.149,6.7114093959731544
45858,E01004406,Violence Against the Person,Waltham Forest,1857,172.6,16604.12,0.149,6.7114093959731544
21944,E01002101,Violence Against the Person,Haringey,2012,127.8,12754.44,0.15,6.666666666666667
395,E01000044,Violence Against the Person,Barking and Dagenham,1964,157.5,15813.0,0.15,6.666666666666667
45825,E01004403,Violence Against the Person,Waltham Forest,2550,164.7,17985.24,0.15,6.666666666666667
38169,E01003645,Violence Against the Person,Redbridge,2762,163.8,18624.06,0.15,6.666666666666667
41953,E01004012,Violence Against the Person,Southwark,2354,172.4,17343.44,0.15,6.666666666666667
37366,E01003564,Violence Against the Person,Newham,2370,149.4,14880.24,0.15,6.666666666666667
26069,E01002487,Violence Against the Person,Hillingdon,1914,149.7,15179.58,0.15,6.666666666666667
28324,E01002713,Violence Against the Person,Islington,2875,153.7,18259.56,0.15,6.666666666666667
41898,E01004006,Violence Against the Person,Southwark,1864,141.7,13914.94,0.15,6.666666666666667
16829,E01001594,Violence Against the Person,Greenwich,2367,161.3,17468.79,0.151,6.622516556291391
