,LSOA,Major Category,Borough,Population,Mean,Range,Normalised Deviation
35607,E01003913,Arson and Criminal Damage,Southwark,4150,70.0,0.001,3605.0
35274,E01003876,Arson and Criminal Damage,Richmond upon Thames,3754,106.4,0.001,6916.0
34310,E01003770,Arson and Criminal Damage,Redbridge,5728,73.4,0.001,4117.74
32918,E01003619,Arson and Criminal Damage,Newham,4946,52.1,0.001,1953.75
36895,E01004067,Arson and Criminal Damage,Southwark,2212,154.2,0.001,14155.56
36848,E01004062,Arson and Criminal Damage,Southwark,4356,59.8,0.001,2559.44
35687,E01003921,Arson and Criminal Damage,Southwark,3794,71.6,0.001,3393.84
36552,E01004031,Arson and Criminal Damage,Southwark,2610,89.0,0.001,5393.4
41669,E01004609,Arson and Criminal Damage,Wandsworth,4388,60.7,0.001,2646.52
38544,E01004259,Arson and Criminal Damage,Tower Hamlets,3504,82.1,0.001,4490.87
39717,E01004397,Arson and Criminal Damage,Waltham Forest,5792,69.7,0.001,3018.01
40040,E01004430,Arson and Criminal Damage,Waltham Forest,2671,93.4,0.001,5762.78
30158,E01003318,Arson and Criminal Damage,Lewisham,4152,102.3,0.001,5513.97
27284,E01003013,Arson and Criminal Damage,Lambeth,3868,77.4,0.001,4109.94
27691,E01003055,Arson and Criminal Damage,Lambeth,3236,76.9,0.001,4021.87
27612,E01003047,Arson and Criminal Damage,Lambeth,3596,199.4,0.001,19481.38
45083,E01033938,Arson and Criminal Damage,Brent,2554,128.5,0.001,10434.2
45804,E01034200,Arson and Criminal Damage,Newham,3146,112.6,0.001,8129.72
47060,E01035652,Arson and Criminal Damage,Islington,1271,195.8,0.001,26276.36
42573,E01004714,Arson and Criminal Damage,Westminster,3334,102.9,0.001,6338.64
43222,E01032582,Arson and Criminal Damage,Lambeth,4562,84.5,0.001,4056.0
42777,E01004735,Arson and Criminal Damage,Westminster,4088,131.2,0.001,8344.32
43005,E01004763,Arson and Criminal Damage,Westminster,4062,201.3,0.001,16566.99
43015,E01004765,Arson and Criminal Damage,Westminster,1862,196.2,0.001,23131.98
44117,E01033594,Arson and Criminal Damage,Westminster,1514,206.7,0.001,27573.78
44068,E01033589,Arson and Criminal Damage,Redbridge,1930,161.2,0.001,15571.92
43318,E01032741,Arson and Criminal Damage,Havering,2968,106.0,0.001,6762.8
45544,E01034156,Arson and Criminal Damage,Sutton,2706,179.3,0.001,17338.31
44275,E01033708,Arson and Criminal Damage,Hackney,1883,267.7,0.001,36942.6
43648,E01033083,Arson and Criminal Damage,Hounslow,4356,73.1,0.001,3618.45
43278,E01032639,Arson and Criminal Damage,Southwark,3820,83.2,0.001,4176.64
42985,E01004761,Arson and Criminal Damage,Westminster,2434,194.5,0.001,20519.75
45485,E01034150,Arson and Criminal Damage,Croydon,2624,196.8,0.001,20034.24
45437,E01034145,Arson and Criminal Damage,Croydon,2660,126.1,0.001,10075.39
6488,E01000721,Arson and Criminal Damage,Bromley,1602,159.7,0.0,19339.67
18330,E01002026,Arson and Criminal Damage,Haringey,3560,103.4,0.0,7124.26
22826,E01002521,Arson and Criminal Damage,Hillingdon,4110,93.0,0.0,6165.9
35746,E01003929,Arson and Criminal Damage,Southwark,1981,131.2,0.0,14418.88
42787,E01004736,Arson and Criminal Damage,Westminster,3094,290.7,0.0,48837.6
