,LSOA,Major Category,Borough,Population,Mean,Range,Normalised Deviation
821,E01000095,Vehicle Offences,Barking and Dagenham,8916,68.2,0.002,2359.72
10649,E01001177,Vehicle Offences,Croydon,6500,40.9,0.002,1341.52
13049,E01001432,Vehicle Offences,Enfield,7516,35.0,0.002,945.0
979,E01000112,Vehicle Offences,Barking and Dagenham,7976,36.4,0.002,990.08
42512,E01004707,Vehicle Offences,Westminster,5649,54.3,0.002,2014.53
42486,E01004703,Vehicle Offences,Westminster,5991,61.2,0.002,2466.36
13612,E01001492,Vehicle Offences,Enfield,6102,40.9,0.002,1177.92
13779,E01001511,Vehicle Offences,Enfield,5667,61.4,0.002,2456.0
10253,E01001137,Vehicle Offences,Croydon,6489,46.1,0.002,1498.25
10550,E01001167,Vehicle Offences,Croydon,9324,31.2,0.002,717.6
42043,E01004648,Vehicle Offences,Westminster,6996,40.5,0.002,1166.4
47262,E01035672,Vehicle Offences,Tower Hamlets,9036,30.7,0.002,699.96
4908,E01000545,Vehicle Offences,Brent,5742,42.3,0.002,1323.99
8522,E01000947,Vehicle Offences,Camden,6624,44.6,0.002,1449.5
8394,E01000931,Vehicle Offences,Camden,6168,43.2,0.002,1283.04
4988,E01000553,Vehicle Offences,Brent,6114,41.3,0.002,1288.56
5241,E01000580,Vehicle Offences,Brent,8360,39.5,0.002,1177.1
5270,E01000583,Vehicle Offences,Brent,6084,40.9,0.002,1165.65
5297,E01000586,Vehicle Offences,Brent,7110,34.5,0.002,848.7
47671,E01035715,Vehicle Offences,Westminster,8364,36.4,0.002,971.88
6476,E01000719,Vehicle Offences,Bromley,6339,49.7,0.002,1699.74
11261,E01001243,Vehicle Offences,Ealing,7101,31.8,0.002,753.66
47183,E01035664,Vehicle Offences,Tower Hamlets,7701,35.1,0.002,888.03
3493,E01000386,Vehicle Offences,Bexley,6040,45.2,0.002,1387.64
3484,E01000385,Vehicle Offences,Bexley,8032,30.8,0.002,745.36
2853,E01000316,Vehicle Offences,Barnet,9120,50.4,0.002,1728.72
47661,E01035714,Vehicle Offences,Kensington and Chelsea,6309,82.0,0.002,3772.0
11426,E01001261,Vehicle Offences,Ealing,6882,41.3,0.002,1090.32
33172,E01003645,Vehicle Offences,Redbridge,8286,35.3,0.002,861.32
5530,E01000615,Vehicle Offences,Brent,12800,29.3,0.002,703.2
44419,E01033738,Vehicle Offences,Greenwich,5631,59.2,0.002,2397.6
45792,E01034198,Vehicle Offences,Greenwich,9340,50.8,0.002,1427.48
44322,E01033712,Vehicle Offences,Hackney,4617,66.4,0.002,2974.72
4035,E01000447,Vehicle Offences,Bexley,7816,46.1,0.002,1498.25
41504,E01004588,Vehicle Offences,Wandsworth,6090,46.7,0.002,1601.81
41494,E01004587,Vehicle Offences,Wandsworth,5520,45.7,0.002,1508.1
41298,E01004566,Vehicle Offences,Wandsworth,5049,59.7,0.002,2423.82
1442,E01000164,Vehicle Offences,Barnet,6864,72.7,0.002,2958.89
17382,E01001922,Vehicle Offences,Hammersmith and Fulham,4851,81.6,0.002,4080.0
16560,E01001836,Vehicle Offences,Hackney,5643,58.4,0.002,2417.76
17565,E01001943,Vehicle Offences,Hammersmith and Fulham,6675,71.2,0.002,2833.76
1804,E01000203,Vehicle Offences,Barnet,7364,36.3,0.002,972.84
17614,E01001948,Vehicle Offences,Hammersmith and Fulham,7556,35.4,0.002,881.46
46304,E01034475,Vehicle Offences,Barking and Dagenham,5496,58.1,0.002,2033.5
17756,E01001963,Vehicle Offences,Haringey,5370,54.6,0.002,2036.58
17851,E01001973,Vehicle Offences,Haringey,10056,34.6,0.002,868.46
1824,E01000205,Vehicle Offences,Barnet,4518,67.8,0.002,3159.48
358,E01000045,Vehicle Offences,Barking and Dagenham,5187,50.7,0.002,1749.15
17910,E01001979,Vehicle Offences,Haringey,6795,46.0,0.002,1485.8
45891,E01034208,Vehicle Offences,Newham,5781,63.9,0.002,2626.29
38452,E01004244,Vehicle Offences,Tower Hamlets,6312,45.2,0.002,1459.96
44972,E01033926,Vehicle Offences,Enfield,10468,43.2,0.002,1084.32
11155,E01001231,Vehicle Offences,Ealing,6252,48.7,0.002,1602.23
45140,E01033943,Vehicle Offences,Haringey,7569,35.5,0.002,951.4
12461,E01001370,Vehicle Offences,Ealing,6483,38.1,0.002,1021.08
45220,E01034030,Vehicle Offences,Ealing,5502,60.4,0.002,2210.64
41667,E01004608,Vehicle Offences,Wandsworth,4944,80.9,0.002,4117.81
14269,E01001564,Vehicle Offences,Enfield,4998,49.2,0.002,1766.28
41677,E01004609,Vehicle Offences,Wandsworth,6582,42.3,0.002,1290.15
39296,E01004352,Vehicle Offences,Waltham Forest,5751,51.2,0.002,1930.24
16689,E01001849,Vehicle Offences,Hackney,7353,51.1,0.002,1543.22
12210,E01001344,Vehicle Offences,Ealing,6828,42.0,0.002,1234.8
39726,E01004397,Vehicle Offences,Waltham Forest,8688,42.2,0.002,1303.98
39538,E01004377,Vehicle Offences,Waltham Forest,7488,47.8,0.002,1644.32
31999,E01003517,Vehicle Offences,Newham,5745,63.9,0.001,2773.26
