,Major Category,Borough,LSOA,Population,Mean,Normalised Deviation,Inverse Normalised Deviation
37146,Theft,Tower Hamlets,E01004204,5721,38.7,1013.94,0.00099
33152,Theft,Bexley,E01000365,6944,39.0,1010.1,0.00099
36404,Theft,Newham,E01003507,9108,42.2,1012.8,0.00099
33077,Theft,Barnet,E01000305,6540,37.8,1009.26,0.00099
36890,Theft,Southwark,E01003963,6816,38.8,1024.32,0.00098
34155,Theft,Ealing,E01001355,7756,39.0,1021.8,0.00098
33663,Theft,Camden,E01000869,7848,37.6,1018.96,0.00098
35641,Theft,Islington,E01002768,6596,36.7,1020.26,0.00098
35635,Theft,Islington,E01002762,7444,39.2,1027.04,0.00097
36453,Theft,Newham,E01003557,7900,39.3,1041.45,0.00096
33302,Theft,Brent,E01000516,9200,40.9,1038.86,0.00096
34385,Theft,Greenwich,E01001575,7212,36.9,1040.58,0.00096
32830,Theft,Barking and Dagenham,E01000064,6930,38.2,1054.32,0.00095
33333,Theft,Brent,E01000550,8100,37.8,1054.62,0.00095
35076,Theft,Harrow,E01002233,9684,38.4,1052.16,0.00095
35966,Theft,Lambeth,E01003081,7332,40.4,1058.48,0.00094
34850,Theft,Haringey,E01002003,10300,42.1,1065.13,0.00094
36766,Theft,Richmond upon Thames,E01003834,6348,38.1,1066.8,0.00094
35380,Theft,Hillingdon,E01002529,9952,37.9,1072.57,0.00093
36455,Theft,Newham,E01003559,9460,42.3,1070.19,0.00093
35006,Theft,Harrow,E01002160,9916,40.4,1070.6,0.00093
34233,Theft,Enfield,E01001425,8028,40.9,1071.58,0.00093
34357,Theft,Enfield,E01001554,7112,40.8,1073.04,0.00093
33318,Theft,Brent,E01000533,8656,41.5,1074.85,0.00093
33358,Theft,Brent,E01000575,8564,36.8,1070.88,0.00093
36942,Theft,Southwark,E01004030,6112,38.1,1085.85,0.00092
36013,Theft,Lambeth,E01003130,7488,39.8,1090.52,0.00092
33393,Theft,Brent,E01000615,12800,39.9,1081.29,0.00092
34569,Theft,Hackney,E01001739,7884,40.4,1086.76,0.00092
33262,Theft,Brent,E01000473,10712,39.7,1083.81,0.00092
37510,Theft,Wandsworth,E01004528,6624,40.1,1082.7,0.00092
36184,Theft,Lewisham,E01003301,10476,35.5,1086.3,0.00092
35656,Theft,Islington,E01002783,6648,39.5,1082.3,0.00092
37635,Theft,Wandsworth,E01035494,7012,38.6,1084.66,0.00092
36658,Theft,Redbridge,E01003735,8432,39.5,1098.1,0.00091
34498,Theft,Greenwich,E01001705,9000,37.5,1098.75,0.00091
36110,Theft,Lewisham,E01003221,8740,38.8,1109.68,0.0009
34399,Theft,Greenwich,E01001589,7360,36.5,1113.25,0.0009
36725,Theft,Redbridge,E01034481,6860,40.3,1116.31,0.0009
34122,Theft,Ealing,E01001322,8172,40.2,1105.5,0.0009
36692,Theft,Redbridge,E01003770,8592,44.8,1115.52,0.0009
34618,Theft,Hackney,E01001798,9452,40.9,1112.48,0.0009
36277,Theft,Merton,E01003379,8004,42.4,1119.36,0.00089
35511,Theft,Hounslow,E01002650,9948,41.7,1117.56,0.00089
36524,Theft,Newham,E01003636,6567,39.6,1124.64,0.00089
36972,Theft,Southwark,E01004060,7824,39.5,1137.6,0.00088
32967,Theft,Barnet,E01000194,7564,43.9,1141.4,0.00088
34714,Theft,Hammersmith and Fulham,E01001871,6096,40.9,1132.93,0.00088
36433,Theft,Newham,E01003537,8588,40.7,1135.53,0.00088
37440,Theft,Waltham Forest,E01004460,8036,38.6,1142.56,0.00088
35673,Theft,Islington,E01002800,7080,38.8,1148.48,0.00087
36603,Theft,Redbridge,E01003677,7232,40.0,1156.0,0.00087
36594,Theft,Redbridge,E01003668,6856,43.6,1155.4,0.00087
33877,Theft,Croydon,E01001087,11320,41.3,1164.66,0.00086
34126,Theft,Ealing,E01001326,7816,39.1,1169.09,0.00086
34878,Theft,Haringey,E01002032,7252,40.6,1161.16,0.00086
33750,Theft,Camden,E01000961,7220,36.7,1174.4,0.00085
33598,Theft,Bromley,E01000806,6980,41.2,1178.32,0.00085
34896,Theft,Haringey,E01002051,7632,44.2,1171.3,0.00085
35993,Theft,Lambeth,E01003110,6213,43.4,1171.8,0.00085
36937,Theft,Southwark,E01004021,8260,42.3,1184.4,0.00084
33336,Theft,Brent,E01000553,8152,43.1,1193.87,0.00084
33794,Theft,Croydon,E01001000,5420,40.2,1189.92,0.00084
35343,Theft,Hillingdon,E01002485,8132,39.7,1202.91,0.00083
