,Borough,LSOA,Major Category,Population,Mean,Standard Deviation,Normalised Deviation
39498,Southwark,E01003988,Vehicle Offences,6156,55.8,1.00124,2042.28
19199,Hammersmith and Fulham,E01001943,Vehicle Offences,6675,71.2,1.00122,2833.76
31810,Lewisham,E01003213,Vehicle Offences,5880,45.6,1.00122,1573.2
1020,Barking and Dagenham,E01033587,Vehicle Offences,9780,56.6,1.00121,2094.2
24671,Hillingdon,E01002506,Vehicle Offences,6162,54.0,1.00121,1971.0
24593,Hillingdon,E01002496,Vehicle Offences,5847,59.0,1.0012,2218.4
37625,Redbridge,E01003783,Vehicle Offences,7647,50.9,1.00118,1837.49
14054,Enfield,E01001445,Vehicle Offences,11188,54.9,1.00117,2036.79
10545,Croydon,E01001097,Vehicle Offences,7257,54.1,1.00117,1996.29
20140,Haringey,E01002037,Vehicle Offences,6744,91.5,1.00117,3998.55
15156,Enfield,E01001564,Vehicle Offences,4998,49.2,1.00116,1766.28
1573,Barnet,E01000164,Vehicle Offences,6864,72.7,1.00116,2958.89
17077,Hackney,E01001734,Vehicle Offences,5565,50.6,1.00116,1831.72
14587,Enfield,E01001501,Vehicle Offences,6585,60.2,1.00115,2311.68
46103,Wandsworth,E01004617,Vehicle Offences,5745,48.2,1.00115,1725.56
47032,Westminster,E01004707,Vehicle Offences,5649,54.3,1.00115,2014.53
19458,Haringey,E01001963,Vehicle Offences,5370,54.6,1.00114,2036.58
29891,Lambeth,E01003020,Vehicle Offences,5361,44.8,1.00113,1572.48
15707,Greenwich,E01001615,Vehicle Offences,8196,39.4,1.00112,1331.72
12380,Ealing,E01001277,Vehicle Offences,6051,68.7,1.00109,2802.96
30319,Lambeth,E01003064,Vehicle Offences,4305,50.7,1.00109,1875.9
