,Borough,LSOA,Major Category,Population,Mean,Standard Deviation,Normalised Deviation
30225,Lambeth,E01003055,Miscellaneous Crimes Against Society,1618,28.4,43.1,0.66
11583,Croydon,E01034149,Miscellaneous Crimes Against Society,2111,35.4,42.8,0.83
16782,Greenwich,E01034187,Miscellaneous Crimes Against Society,1259,22.4,42.5,0.53
26013,Hounslow,E01002637,Miscellaneous Crimes Against Society,1940,23.3,42.4,0.55
13073,Ealing,E01001351,Miscellaneous Crimes Against Society,1993,31.0,42.3,0.73
46492,Wandsworth,E01035495,Miscellaneous Crimes Against Society,1332,23.8,42.0,0.57
23520,Havering,E01002385,Miscellaneous Crimes Against Society,1588,18.5,42.0,0.44
41759,Tower Hamlets,E01004203,Miscellaneous Crimes Against Society,1816,24.3,41.9,0.58
9779,Croydon,E01001013,Miscellaneous Crimes Against Society,2185,28.3,41.7,0.68
46637,Westminster,E01004657,Miscellaneous Crimes Against Society,1231,19.1,41.7,0.46
47260,Westminster,E01004731,Miscellaneous Crimes Against Society,1996,23.9,41.6,0.57
27568,Islington,E01002787,Miscellaneous Crimes Against Society,1440,16.3,41.6,0.39
11613,Croydon,E01034152,Miscellaneous Crimes Against Society,1572,24.7,41.6,0.59
15071,Enfield,E01001555,Miscellaneous Crimes Against Society,2229,23.0,41.5,0.55
12096,Ealing,E01001247,Miscellaneous Crimes Against Society,2326,27.3,41.5,0.66
34980,Newham,E01003535,Miscellaneous Crimes Against Society,1868,16.7,41.3,0.4
33190,Lewisham,E01033327,Miscellaneous Crimes Against Society,2169,35.8,41.3,0.87
46453,Wandsworth,E01035491,Miscellaneous Crimes Against Society,1211,17.5,41.3,0.42
28664,Kensington and Chelsea,E01002889,Miscellaneous Crimes Against Society,1566,19.9,41.2,0.48
9051,Camden,E01000939,Miscellaneous Crimes Against Society,1446,23.2,41.2,0.56
8296,Camden,E01000858,Miscellaneous Crimes Against Society,1992,21.0,41.1,0.51
46883,Westminster,E01004691,Miscellaneous Crimes Against Society,1207,20.5,41.1,0.5
3961,Bexley,E01000408,Miscellaneous Crimes Against Society,1766,18.0,41.1,0.44
40534,Southwark,E01033883,Miscellaneous Crimes Against Society,1595,19.5,41.1,0.47
3528,Bexley,E01000360,Miscellaneous Crimes Against Society,1902,21.3,41.0,0.52
23461,Havering,E01002379,Miscellaneous Crimes Against Society,1592,15.9,41.0,0.39
35136,Newham,E01003551,Miscellaneous Crimes Against Society,1856,11.1,41.0,0.27
24656,Hillingdon,E01002505,Miscellaneous Crimes Against Society,1775,24.2,41.0,0.59
16704,Greenwich,E01034179,Miscellaneous Crimes Against Society,1410,22.1,41.0,0.54
26724,Islington,E01002696,Miscellaneous Crimes Against Society,1788,26.6,40.9,0.65
16547,Greenwich,E01033737,Miscellaneous Crimes Against Society,1893,27.0,40.7,0.66
11633,Ealing,E01001196,Miscellaneous Crimes Against Society,1627,16.6,40.5,0.41
42301,Tower Hamlets,E01004277,Miscellaneous Crimes Against Society,1578,25.7,40.5,0.63
6137,Brent,E01033455,Miscellaneous Crimes Against Society,1114,19.0,40.5,0.47
2496,Barnet,E01000264,Miscellaneous Crimes Against Society,1819,20.4,40.5,0.5
23256,Havering,E01002356,Miscellaneous Crimes Against Society,2107,32.7,40.4,0.81
4307,Bexley,E01000447,Miscellaneous Crimes Against Society,1954,18.4,40.4,0.46
23227,Havering,E01002353,Miscellaneous Crimes Against Society,2060,30.6,40.2,0.76
13170,Ealing,E01001361,Miscellaneous Crimes Against Society,2271,33.7,40.2,0.84
16924,Hackney,E01001718,Miscellaneous Crimes Against Society,1740,20.3,40.2,0.5
11573,Croydon,E01034148,Miscellaneous Crimes Against Society,1634,21.2,40.1,0.53
15655,Greenwich,E01001609,Miscellaneous Crimes Against Society,1719,22.6,40.1,0.56
1261,Barnet,E01000129,Miscellaneous Crimes Against Society,1589,24.8,40.1,0.62
6995,Bromley,E01000720,Miscellaneous Crimes Against Society,1799,20.6,40.0,0.52
47420,Westminster,E01004750,Miscellaneous Crimes Against Society,1634,23.4,40.0,0.58
28576,Kensington and Chelsea,E01002880,Miscellaneous Crimes Against Society,1117,16.3,39.8,0.41
38033,Richmond upon Thames,E01003817,Miscellaneous Crimes Against Society,1973,12.8,39.8,0.32
