,LSOA,Major Category,Borough,Population,Mean,Range,Normalised Deviation
15657,E01001731,Burglary,Hackney,5330,54.2,0.001,2178.84
7651,E01000851,Burglary,Camden,2944,161.8,0.001,16034.38
1240,E01000141,Burglary,Barnet,3722,77.8,0.001,4341.24
1288,E01000146,Burglary,Barnet,3718,84.2,0.001,4664.68
7641,E01000850,Burglary,Camden,2822,188.4,0.001,21948.6
47626,E01035711,Burglary,Camden,4800,127.9,0.001,9170.43
47646,E01035713,Burglary,Kensington and Chelsea,4078,72.6,0.001,3564.66
47694,E01035718,Burglary,Westminster,5318,69.4,0.001,2887.04
47586,E01035707,Burglary,Camden,4926,58.2,0.001,2706.3
25286,E01002794,Burglary,Islington,4056,77.6,0.001,4011.92
27536,E01003039,Burglary,Lambeth,4054,62.5,0.001,3037.5
27878,E01003074,Burglary,Lambeth,4678,67.1,0.001,3368.42
31972,E01003515,Burglary,Newham,4254,57.1,0.001,2403.91
38180,E01004208,Burglary,Tower Hamlets,3954,72.0,0.001,3880.8
38895,E01004307,Burglary,Tower Hamlets,4770,94.6,0.001,4957.04
35835,E01003939,Burglary,Southwark,3924,105.4,0.001,6492.64
36849,E01004062,Burglary,Southwark,4356,77.0,0.001,3842.3
34434,E01003783,Burglary,Redbridge,5098,60.3,0.001,2538.63
35608,E01003913,Burglary,Southwark,4150,72.1,0.001,3424.75
35785,E01003934,Burglary,Southwark,3996,83.6,0.001,4898.96
35747,E01003929,Burglary,Southwark,3962,130.5,0.001,9043.65
42584,E01004715,Burglary,Westminster,3708,77.3,0.001,4475.67
42303,E01004682,Burglary,Westminster,2584,118.1,0.001,9625.15
41670,E01004609,Burglary,Wandsworth,4388,69.3,0.001,3354.12
41749,E01004617,Burglary,Wandsworth,3830,62.4,0.001,2814.24
42095,E01004654,Burglary,Westminster,4950,78.9,0.001,4426.29
42125,E01004658,Burglary,Westminster,3096,112.1,0.001,8272.98
42155,E01004661,Burglary,Westminster,4028,80.8,0.001,4524.8
42293,E01004681,Burglary,Westminster,3730,88.9,0.001,5405.12
42574,E01004714,Burglary,Westminster,3334,220.0,0.001,26290.0
42439,E01004699,Burglary,Westminster,3490,122.5,0.001,9628.5
42429,E01004698,Burglary,Westminster,2642,120.7,0.001,10923.35
43826,E01033327,Burglary,Lewisham,4338,65.4,0.001,2701.02
38915,E01004309,Burglary,Tower Hamlets,5686,63.6,0.001,3046.44
39718,E01004397,Burglary,Waltham Forest,5792,57.2,0.001,2465.32
40917,E01004525,Burglary,Wandsworth,3866,72.0,0.001,3744.0
40441,E01004474,Burglary,Wandsworth,3984,84.3,0.001,5091.72
44635,E01033867,Burglary,Southwark,3102,102.0,0.001,7721.4
44206,E01033699,Burglary,Hackney,2818,103.5,0.001,7400.25
44266,E01033706,Burglary,Hackney,2854,162.8,0.001,16263.72
45486,E01034150,Burglary,Croydon,2624,123.1,0.001,10869.73
44276,E01033708,Burglary,Hackney,3766,292.1,0.001,37359.59
42778,E01004735,Burglary,Westminster,4088,216.0,0.001,21729.6
42996,E01004762,Burglary,Westminster,3158,140.6,0.001,13033.62
42888,E01004749,Burglary,Westminster,4398,68.9,0.001,3410.55
44216,E01033700,Burglary,Hackney,4994,62.8,0.001,2882.52
43358,E01032764,Burglary,Tower Hamlets,4772,63.4,0.001,2738.88
43016,E01004765,Burglary,Westminster,3724,261.4,0.001,34687.78
43923,E01033489,Burglary,Islington,2842,116.3,0.001,10036.69
44246,E01033704,Burglary,Hackney,4678,93.9,0.001,5737.29
12848,E01001412,Burglary,Enfield,3562,87.9,0.0,6425.49
8269,E01000919,Burglary,Camden,2918,223.2,0.0,29239.2
7671,E01000855,Burglary,Camden,2654,219.0,0.0,30265.8
18411,E01002034,Burglary,Haringey,4942,62.6,0.0,3067.4
42554,E01004712,Burglary,Westminster,2988,99.4,0.0,7673.68
42115,E01004657,Burglary,Westminster,2462,147.4,0.0,16464.58
