,LSOA,Borough,Major Category,Population,Mean,Normalised Deviation,Regression,Flat
22709,E01002506,Hillingdon,Arson and Criminal Damage,4108,78.9,3684.63,0.072,13.88888888888889
29078,E01003199,Lewisham,Arson and Criminal Damage,3932,75.8,3555.02,0.072,13.88888888888889
35687,E01003921,Southwark,Arson and Criminal Damage,3794,71.6,3393.84,0.073,13.698630136986303
28091,E01003096,Lambeth,Arson and Criminal Damage,4196,64.6,3087.88,0.073,13.698630136986303
43278,E01032639,Southwark,Arson and Criminal Damage,3820,83.2,4176.64,0.074,13.513513513513514
43648,E01033083,Hounslow,Arson and Criminal Damage,4356,73.1,3618.45,0.074,13.513513513513514
33565,E01003689,Redbridge,Arson and Criminal Damage,4460,87.6,4266.12,0.074,13.513513513513514
16494,E01001830,Hackney,Arson and Criminal Damage,3834,66.3,3235.44,0.075,13.333333333333334
10068,E01001118,Croydon,Arson and Criminal Damage,4298,78.3,3844.53,0.075,13.333333333333334
9383,E01001042,Croydon,Arson and Criminal Damage,4322,69.0,3422.4,0.076,13.157894736842106
12367,E01001361,Ealing,Arson and Criminal Damage,4542,87.2,4830.88,0.076,13.157894736842106
25047,E01002770,Islington,Arson and Criminal Damage,3788,74.1,3675.36,0.076,13.157894736842106
41830,E01004626,Wandsworth,Arson and Criminal Damage,3708,66.9,3385.14,0.077,12.987012987012987
27284,E01003013,Lambeth,Arson and Criminal Damage,3868,77.4,4109.94,0.077,12.987012987012987
1239,E01000141,Barnet,Arson and Criminal Damage,3722,75.1,3927.73,0.078,12.820512820512821
11293,E01001247,Ealing,Arson and Criminal Damage,4652,78.3,4040.28,0.078,12.820512820512821
21338,E01002353,Havering,Arson and Criminal Damage,4120,83.5,4342.0,0.079,12.658227848101266
26329,E01002906,Kensington and Chelsea,Arson and Criminal Damage,3570,68.7,3544.92,0.079,12.658227848101266
34310,E01003770,Redbridge,Arson and Criminal Damage,5728,73.4,4117.74,0.079,12.658227848101266
35607,E01003913,Southwark,Arson and Criminal Damage,4150,70.0,3605.0,0.079,12.658227848101266
27691,E01003055,Lambeth,Arson and Criminal Damage,3236,76.9,4021.87,0.08,12.5
6577,E01000730,Bromley,Arson and Criminal Damage,3682,66.3,3500.64,0.08,12.5
30158,E01003318,Lewisham,Arson and Criminal Damage,4152,102.3,5513.97,0.083,12.048192771084336
42737,E01004731,Westminster,Arson and Criminal Damage,3992,66.2,3581.42,0.083,12.048192771084336
38544,E01004259,Tower Hamlets,Arson and Criminal Damage,3504,82.1,4490.87,0.084,11.904761904761903
17557,E01001943,Hammersmith and Fulham,Arson and Criminal Damage,4450,100.7,5498.22,0.084,11.904761904761903
17160,E01001899,Hammersmith and Fulham,Arson and Criminal Damage,3272,70.3,3873.53,0.085,11.76470588235294
6077,E01000676,Bromley,Arson and Criminal Damage,4092,100.3,5606.77,0.085,11.76470588235294
9092,E01001010,Croydon,Arson and Criminal Damage,3430,82.1,4753.59,0.085,11.76470588235294
43825,E01033327,Lewisham,Arson and Criminal Damage,4338,83.7,4653.72,0.085,11.76470588235294
6478,E01000720,Bromley,Arson and Criminal Damage,3598,74.1,4068.09,0.085,11.76470588235294
7114,E01000790,Bromley,Arson and Criminal Damage,4580,79.4,4446.4,0.086,11.627906976744187
13011,E01001429,Enfield,Arson and Criminal Damage,4588,103.7,5993.86,0.089,11.235955056179776
15423,E01001701,Greenwich,Arson and Criminal Damage,3508,97.3,5779.62,0.091,10.989010989010989
17150,E01001898,Hammersmith and Fulham,Arson and Criminal Damage,4200,104.1,6235.59,0.092,10.869565217391305
45853,E01034205,Newham,Arson and Criminal Damage,3130,89.1,5328.18,0.092,10.869565217391305
42573,E01004714,Westminster,Arson and Criminal Damage,3334,102.9,6338.64,0.092,10.869565217391305
36552,E01004031,Southwark,Arson and Criminal Damage,2610,89.0,5393.4,0.093,10.75268817204301
40040,E01004430,Waltham Forest,Arson and Criminal Damage,2671,93.4,5762.78,0.095,10.526315789473685
29931,E01003291,Lewisham,Arson and Criminal Damage,3070,94.7,5880.87,0.095,10.526315789473685
30030,E01003303,Lewisham,Arson and Criminal Damage,3486,80.8,5090.4,0.097,10.309278350515463
22826,E01002521,Hillingdon,Arson and Criminal Damage,4110,93.0,6165.9,0.098,10.204081632653061
21367,E01002356,Havering,Arson and Criminal Damage,4214,147.8,9503.54,0.098,10.204081632653061
43318,E01032741,Havering,Arson and Criminal Damage,2968,106.0,6762.8,0.098,10.204081632653061
42777,E01004735,Westminster,Arson and Criminal Damage,4088,131.2,8344.32,0.098,10.204081632653061
26881,E01002968,Kingston upon Thames,Arson and Criminal Damage,5874,174.4,11859.2,0.099,10.1010101010101
35274,E01003876,Richmond upon Thames,Arson and Criminal Damage,3754,106.4,6916.0,0.1,10.0
8514,E01000947,Camden,Arson and Criminal Damage,3312,106.2,7136.64,0.101,9.900990099009901
7670,E01000855,Camden,Arson and Criminal Damage,2654,105.1,6905.07,0.101,9.900990099009901
8257,E01000918,Camden,Arson and Criminal Damage,3610,96.0,6412.8,0.102,9.803921568627452
