,Major Category,LSOA,Borough,Mean,Standard Deviation,Normalised Deviation
19381,Miscellaneous Crimes Against Society,E01035485,Hammersmith and Fulham,15.1,46.5,0.32
15737,Miscellaneous Crimes Against Society,E01000947,Camden,28.1,46.5,0.6
19138,Miscellaneous Crimes Against Society,E01033706,Hackney,26.4,46.3,0.57
16561,Miscellaneous Crimes Against Society,E01001894,Hammersmith and Fulham,26.2,46.0,0.57
15651,Miscellaneous Crimes Against Society,E01000850,Camden,29.6,46.0,0.64
17491,Miscellaneous Crimes Against Society,E01002968,Kingston upon Thames,54.9,45.7,1.2
15065,Miscellaneous Crimes Against Society,E01000167,Barnet,10.3,45.6,0.23
17805,Miscellaneous Crimes Against Society,E01003318,Lewisham,35.4,45.5,0.78
19076,Miscellaneous Crimes Against Society,E01033083,Hounslow,32.4,45.4,0.71
17098,Miscellaneous Crimes Against Society,E01002521,Hillingdon,34.3,45.4,0.76
19364,Miscellaneous Crimes Against Society,E01034602,Hillingdon,22.5,45.3,0.5
15709,Miscellaneous Crimes Against Society,E01000915,Camden,26.3,45.0,0.58
19167,Miscellaneous Crimes Against Society,E01033791,Bexley,23.3,44.8,0.52
15792,Miscellaneous Crimes Against Society,E01001010,Croydon,20.9,44.7,0.47
19291,Miscellaneous Crimes Against Society,E01034205,Newham,30.8,44.6,0.69
17422,Miscellaneous Crimes Against Society,E01002884,Kensington and Chelsea,26.8,44.4,0.6
19457,Miscellaneous Crimes Against Society,E01035711,Camden,35.3,44.4,0.8
16118,Miscellaneous Crimes Against Society,E01001367,Ealing,15.9,44.3,0.36
19375,Miscellaneous Crimes Against Society,E01034613,Hillingdon,13.7,44.0,0.31
18642,Miscellaneous Crimes Against Society,E01004322,Tower Hamlets,24.4,44.0,0.55
18561,Miscellaneous Crimes Against Society,E01004208,Tower Hamlets,32.4,43.9,0.74
17676,Miscellaneous Crimes Against Society,E01003173,Lambeth,12.1,43.9,0.28
16159,Miscellaneous Crimes Against Society,E01001412,Enfield,19.8,43.8,0.45
19139,Miscellaneous Crimes Against Society,E01033708,Hackney,35.9,43.8,0.82
17575,Miscellaneous Crimes Against Society,E01003061,Lambeth,18.2,43.8,0.42
15733,Miscellaneous Crimes Against Society,E01000942,Camden,18.9,43.6,0.43
