,Borough,LSOA,Major Category,Population,Mean,Standard Deviation,Normalised Deviation
24655,Hillingdon,E01002505,Drug Offences,3550,77.2,66.5,1.16
39116,Southwark,E01003937,Drug Offences,3006,77.1,69.7,1.11
11,Barking and Dagenham,E01000007,Drug Offences,5682,76.9,68.2,1.13
13860,Enfield,E01001425,Drug Offences,4014,76.8,64.8,1.19
5046,Brent,E01000523,Drug Offences,4592,76.0,55.5,1.37
46794,Westminster,E01004679,Drug Offences,3932,75.5,221.9,0.34
5056,Brent,E01000524,Drug Offences,4768,75.3,54.0,1.39
47279,Westminster,E01004733,Drug Offences,4232,74.5,59.7,1.25
34539,Newham,E01003486,Drug Offences,1210,74.4,102.4,0.73
16546,Greenwich,E01033737,Drug Offences,3786,74.4,56.1,1.33
1074,Barking and Dagenham,E01034474,Drug Offences,4454,74.0,71.2,1.04
8823,Camden,E01000915,Drug Offences,2992,73.9,50.3,1.47
31385,Lambeth,E01003176,Drug Offences,3884,73.6,62.2,1.18
28489,Kensington and Chelsea,E01002871,Drug Offences,1454,73.6,109.6,0.67
42544,Tower Hamlets,E01004309,Drug Offences,5686,73.5,49.2,1.49
20594,Haringey,E01002085,Drug Offences,4392,73.4,83.8,0.88
30918,Lambeth,E01003128,Drug Offences,3216,73.2,81.7,0.9
19527,Haringey,E01001971,Drug Offences,3764,72.8,64.8,1.12
28020,Kensington and Chelsea,E01002821,Drug Offences,2264,72.5,75.1,0.97
28097,Kensington and Chelsea,E01002830,Drug Offences,3412,71.7,107.9,0.66
24782,Hillingdon,E01002521,Drug Offences,4110,71.7,64.6,1.11
46950,Westminster,E01004698,Drug Offences,2642,71.7,91.9,0.78
24665,Hillingdon,E01002506,Drug Offences,4108,71.7,79.2,0.91
40350,Southwark,E01032719,Drug Offences,2904,71.3,63.1,1.13
41799,Tower Hamlets,E01004207,Drug Offences,1423,71.1,89.8,0.79
3547,Bexley,E01000362,Drug Offences,3808,71.1,56.5,1.26
26534,Hounslow,E01033083,Drug Offences,4356,71.0,54.0,1.31
3117,Barnet,E01033917,Drug Offences,2934,70.6,55.1,1.28
18513,Hammersmith and Fulham,E01001869,Drug Offences,1391,70.6,100.0,0.71
11812,Ealing,E01001215,Drug Offences,2069,70.5,74.2,0.95
47537,Westminster,E01004765,Drug Offences,3724,70.4,58.6,1.2
43980,Waltham Forest,E01004392,Drug Offences,5146,70.1,57.5,1.22
38557,Richmond upon Thames,E01003876,Drug Offences,3754,70.0,64.1,1.09
20064,Haringey,E01002029,Drug Offences,4276,70.0,53.4,1.31
4887,Brent,E01000506,Drug Offences,3266,69.9,61.7,1.13
34843,Newham,E01003521,Drug Offences,4374,69.7,54.1,1.29
26849,Islington,E01002710,Drug Offences,3220,69.2,78.4,0.88
46960,Westminster,E01004699,Drug Offences,3490,69.1,68.7,1.01
28253,Kensington and Chelsea,E01002847,Drug Offences,1420,68.8,87.0,0.79
9179,Camden,E01000956,Drug Offences,3030,68.5,59.8,1.15
578,Barking and Dagenham,E01000070,Drug Offences,4146,68.5,60.8,1.13
3910,Bexley,E01000403,Drug Offences,4764,68.5,66.1,1.04
28555,Kensington and Chelsea,E01002878,Drug Offences,2906,68.4,76.6,0.89
25089,Hillingdon,E01034602,Drug Offences,2716,68.0,79.0,0.86
18243,Hackney,E01035641,Drug Offences,2806,67.9,91.1,0.75
20144,Haringey,E01002038,Drug Offences,3652,67.8,92.9,0.73
41975,Tower Hamlets,E01004232,Drug Offences,3586,67.7,58.2,1.16
47163,Westminster,E01004721,Drug Offences,3786,67.4,166.2,0.41
26545,Hounslow,E01033084,Drug Offences,3918,67.0,59.4,1.13
31688,Lewisham,E01003200,Drug Offences,1500,66.7,83.3,0.8
32531,Lewisham,E01003291,Drug Offences,3070,66.1,60.5,1.09
