,Borough,LSOA,Major Category,Population,Mean,Standard Deviation,Normalised Deviation
46648,Westminster,E01004658,Possession of Weapons,1548,21.3,35.0,0.61
37842,Redbridge,E01034484,Possession of Weapons,1701,17.6,34.9,0.5
47519,Westminster,E01004762,Possession of Weapons,1579,20.5,34.9,0.59
39068,Southwark,E01003932,Possession of Weapons,1534,15.0,34.8,0.43
42995,Tower Hamlets,E01035669,Possession of Weapons,1347,14.8,34.8,0.43
18197,Hackney,E01033712,Possession of Weapons,1539,15.3,34.8,0.44
30177,Lambeth,E01003050,Possession of Weapons,1573,16.1,34.6,0.47
39118,Southwark,E01003937,Possession of Weapons,1503,18.0,34.5,0.52
47559,Westminster,E01032513,Possession of Weapons,1216,7.3,34.5,0.21
8278,Camden,E01000856,Possession of Weapons,1575,17.2,34.4,0.5
5028,Brent,E01000521,Possession of Weapons,2291,23.9,34.3,0.7
30675,Lambeth,E01003101,Possession of Weapons,1428,16.5,34.3,0.48
28002,Kensington and Chelsea,E01002818,Possession of Weapons,1401,13.9,34.1,0.41
1262,Barnet,E01000129,Possession of Weapons,1589,14.1,34.1,0.41
27051,Islington,E01002730,Possession of Weapons,1770,15.0,34.0,0.44
34503,Newham,E01003481,Possession of Weapons,1469,15.6,34.0,0.46
35206,Newham,E01003558,Possession of Weapons,1710,16.9,33.9,0.5
32494,Lewisham,E01003286,Possession of Weapons,1740,16.6,33.9,0.49
17880,Hackney,E01001830,Possession of Weapons,1917,19.0,33.9,0.56
46454,Wandsworth,E01035491,Possession of Weapons,1211,12.6,33.6,0.38
20557,Haringey,E01002081,Possession of Weapons,1977,19.3,33.5,0.58
18583,Hammersmith and Fulham,E01001877,Possession of Weapons,1396,11.4,33.4,0.34
14415,Enfield,E01001483,Possession of Weapons,1185,10.4,33.4,0.31
11536,Croydon,E01034144,Possession of Weapons,1344,12.7,33.4,0.38
18748,Hammersmith and Fulham,E01001894,Possession of Weapons,1347,15.3,33.2,0.46
47539,Westminster,E01004765,Possession of Weapons,1862,21.2,33.2,0.64
6258,Brent,E01033936,Possession of Weapons,1654,15.6,33.1,0.47
31387,Lambeth,E01003176,Possession of Weapons,1942,22.1,33.1,0.67
39377,Southwark,E01003972,Possession of Weapons,1446,16.3,33.0,0.49
20427,Haringey,E01002067,Possession of Weapons,1735,12.9,33.0,0.39
41028,Sutton,E01004128,Possession of Weapons,1448,9.7,33.0,0.29
28187,Kensington and Chelsea,E01002840,Possession of Weapons,1045,10.1,33.0,0.31
27001,Islington,E01002725,Possession of Weapons,1340,8.3,32.9,0.25
13171,Ealing,E01001361,Possession of Weapons,2271,24.1,32.9,0.73
25091,Hillingdon,E01034602,Possession of Weapons,1358,15.2,32.9,0.46
27855,Islington,E01033491,Possession of Weapons,1925,18.9,32.8,0.58
31515,Lambeth,E01032582,Possession of Weapons,2281,22.4,32.8,0.68
31572,Lambeth,E01033866,Possession of Weapons,1111,11.1,32.8,0.34
