,Borough,LSOA,Major Category,Population,Mean,Standard Deviation,Normalised Deviation
43981,Waltham Forest,E01004392,Miscellaneous Crimes Against Society,2573,23.3,31.2,0.75
35732,Newham,E01003619,Miscellaneous Crimes Against Society,2473,26.6,36.0,0.74
41810,Tower Hamlets,E01004208,Miscellaneous Crimes Against Society,1977,32.4,43.9,0.74
42175,Tower Hamlets,E01004259,Miscellaneous Crimes Against Society,1752,35.9,48.4,0.74
1373,Barnet,E01000141,Miscellaneous Crimes Against Society,1861,24.3,33.1,0.73
13073,Ealing,E01001351,Miscellaneous Crimes Against Society,1993,31.0,42.3,0.73
37620,Redbridge,E01003783,Miscellaneous Crimes Against Society,2549,21.5,29.6,0.73
47518,Westminster,E01004762,Miscellaneous Crimes Against Society,1579,34.3,46.8,0.73
7715,Bromley,E01000799,Miscellaneous Crimes Against Society,1813,26.0,36.1,0.72
7631,Bromley,E01000790,Miscellaneous Crimes Against Society,2290,22.9,31.9,0.72
31514,Lambeth,E01032582,Miscellaneous Crimes Against Society,2281,24.0,33.4,0.72
39049,Southwark,E01003929,Miscellaneous Crimes Against Society,1981,20.2,28.2,0.72
24666,Hillingdon,E01002506,Miscellaneous Crimes Against Society,2054,22.3,30.9,0.72
8267,Camden,E01000855,Miscellaneous Crimes Against Society,1327,41.2,57.4,0.72
12,Barking and Dagenham,E01000007,Miscellaneous Crimes Against Society,2841,15.9,22.3,0.71
26052,Hounslow,E01002641,Miscellaneous Crimes Against Society,2728,21.8,30.8,0.71
26536,Hounslow,E01033083,Miscellaneous Crimes Against Society,2178,32.4,45.4,0.71
42545,Tower Hamlets,E01004309,Miscellaneous Crimes Against Society,2843,19.7,27.8,0.71
26713,Islington,E01002695,Miscellaneous Crimes Against Society,1483,38.9,55.7,0.7
45266,Wandsworth,E01004525,Miscellaneous Crimes Against Society,1933,35.9,51.3,0.7
15111,Enfield,E01001559,Miscellaneous Crimes Against Society,2127,23.2,33.2,0.7
21062,Harrow,E01002129,Miscellaneous Crimes Against Society,2691,21.9,31.5,0.7
8894,Camden,E01000922,Miscellaneous Crimes Against Society,1929,25.0,35.8,0.7
6277,Brent,E01033938,Miscellaneous Crimes Against Society,1277,40.5,57.9,0.7
27637,Islington,E01002794,Miscellaneous Crimes Against Society,2028,25.8,37.2,0.69
816,Barking and Dagenham,E01000095,Miscellaneous Crimes Against Society,2229,23.0,33.2,0.69
36026,Newham,E01034205,Miscellaneous Crimes Against Society,1565,30.8,44.6,0.69
2892,Barnet,E01000307,Miscellaneous Crimes Against Society,1645,33.3,48.2,0.69
15702,Greenwich,E01001615,Miscellaneous Crimes Against Society,2049,25.3,36.9,0.69
34844,Newham,E01003521,Miscellaneous Crimes Against Society,2187,27.2,39.3,0.69
23693,Hillingdon,E01002397,Miscellaneous Crimes Against Society,1954,22.6,32.9,0.69
11525,Croydon,E01034143,Miscellaneous Crimes Against Society,1311,35.4,51.2,0.69
8855,Camden,E01000918,Miscellaneous Crimes Against Society,1805,33.6,49.1,0.68
8814,Camden,E01000914,Miscellaneous Crimes Against Society,1402,71.3,104.1,0.68
9779,Croydon,E01001013,Miscellaneous Crimes Against Society,2185,28.3,41.7,0.68
40198,Southwark,E01004067,Miscellaneous Crimes Against Society,2212,23.1,33.8,0.68
40321,Southwark,E01032639,Miscellaneous Crimes Against Society,1910,21.9,32.1,0.68
13901,Enfield,E01001429,Miscellaneous Crimes Against Society,2294,35.4,51.9,0.68
47578,Westminster,E01033594,Miscellaneous Crimes Against Society,1514,34.6,51.4,0.67
44968,Wandsworth,E01004493,Miscellaneous Crimes Against Society,1916,62.6,93.6,0.67
26596,Hounslow,E01034036,Miscellaneous Crimes Against Society,1820,26.2,39.3,0.67
18087,Hackney,E01033699,Miscellaneous Crimes Against Society,1409,38.8,57.8,0.67
37764,Redbridge,E01033589,Miscellaneous Crimes Against Society,1930,29.0,43.6,0.67
30225,Lambeth,E01003055,Miscellaneous Crimes Against Society,1618,28.4,43.1,0.66
16547,Greenwich,E01033737,Miscellaneous Crimes Against Society,1893,27.0,40.7,0.66
24734,Hillingdon,E01002514,Miscellaneous Crimes Against Society,1965,28.7,43.2,0.66
12096,Ealing,E01001247,Miscellaneous Crimes Against Society,2326,27.3,41.5,0.66
26860,Islington,E01002711,Miscellaneous Crimes Against Society,2052,20.1,30.3,0.66
27399,Islington,E01002770,Miscellaneous Crimes Against Society,1894,23.6,35.9,0.66
16527,Greenwich,E01033735,Miscellaneous Crimes Against Society,1270,49.1,75.6,0.65
12116,Ealing,E01001249,Miscellaneous Crimes Against Society,2408,17.1,26.2,0.65
27647,Islington,E01002795,Miscellaneous Crimes Against Society,1946,23.3,35.8,0.65
15101,Enfield,E01001558,Miscellaneous Crimes Against Society,2006,30.5,46.7,0.65
26724,Islington,E01002696,Miscellaneous Crimes Against Society,1788,26.6,40.9,0.65
17042,Hackney,E01001731,Miscellaneous Crimes Against Society,2665,15.2,23.6,0.64
8237,Camden,E01000850,Miscellaneous Crimes Against Society,1411,29.6,46.0,0.64
27854,Islington,E01033491,Miscellaneous Crimes Against Society,1925,22.3,34.8,0.64
43004,Tower Hamlets,E01035670,Miscellaneous Crimes Against Society,4380,10.1,15.9,0.64
27079,Islington,E01002734,Miscellaneous Crimes Against Society,2363,16.9,26.6,0.64
30684,Lambeth,E01003102,Miscellaneous Crimes Against Society,1771,23.9,37.2,0.64
16177,Greenwich,E01001677,Miscellaneous Crimes Against Society,2176,19.5,30.3,0.64
17879,Hackney,E01001830,Miscellaneous Crimes Against Society,1917,24.9,39.0,0.64
2099,Barnet,E01000221,Miscellaneous Crimes Against Society,1392,31.3,48.7,0.64
47696,Westminster,E01035718,Miscellaneous Crimes Against Society,2659,21.2,33.0,0.64
8973,Camden,E01000930,Miscellaneous Crimes Against Society,2106,19.3,30.3,0.64
6939,Bromley,E01000714,Miscellaneous Crimes Against Society,2142,17.0,26.7,0.64
16876,Greenwich,E01034198,Miscellaneous Crimes Against Society,2335,19.4,30.6,0.63
