,Borough,LSOA,Major Category,Population,Mean,Standard Deviation,Normalised Deviation
24734,Hillingdon,E01002514,Miscellaneous Crimes Against Society,1965,28.7,43.2,0.66
30225,Lambeth,E01003055,Miscellaneous Crimes Against Society,1618,28.4,43.1,0.66
3548,Bexley,E01000362,Miscellaneous Crimes Against Society,1904,28.4,37.1,0.77
9779,Croydon,E01001013,Miscellaneous Crimes Against Society,2185,28.3,41.7,0.68
20085,Haringey,E01002031,Miscellaneous Crimes Against Society,1873,28.3,50.0,0.57
6443,Bromley,E01000658,Miscellaneous Crimes Against Society,1342,28.1,74.3,0.38
9111,Camden,E01000947,Miscellaneous Crimes Against Society,1656,28.1,46.5,0.6
41830,Tower Hamlets,E01004211,Miscellaneous Crimes Against Society,1615,28.0,50.0,0.56
3118,Barnet,E01033917,Miscellaneous Crimes Against Society,1467,27.7,48.3,0.57
6207,Brent,E01033931,Miscellaneous Crimes Against Society,1369,27.5,55.0,0.5
12096,Ealing,E01001247,Miscellaneous Crimes Against Society,2326,27.3,41.5,0.66
34844,Newham,E01003521,Miscellaneous Crimes Against Society,2187,27.2,39.3,0.69
20065,Haringey,E01002029,Miscellaneous Crimes Against Society,2138,27.2,53.8,0.51
16547,Greenwich,E01033737,Miscellaneous Crimes Against Society,1893,27.0,40.7,0.66
28616,Kensington and Chelsea,E01002884,Miscellaneous Crimes Against Society,1407,26.8,44.4,0.6
28606,Kensington and Chelsea,E01002883,Miscellaneous Crimes Against Society,1494,26.8,50.1,0.53
44029,Waltham Forest,E01004397,Miscellaneous Crimes Against Society,2896,26.6,33.4,0.8
26724,Islington,E01002696,Miscellaneous Crimes Against Society,1788,26.6,40.9,0.65
35732,Newham,E01003619,Miscellaneous Crimes Against Society,2473,26.6,36.0,0.74
28021,Kensington and Chelsea,E01002821,Miscellaneous Crimes Against Society,1132,26.5,46.9,0.57
18147,Hackney,E01033706,Miscellaneous Crimes Against Society,1427,26.4,46.3,0.57
8824,Camden,E01000915,Miscellaneous Crimes Against Society,1496,26.3,45.0,0.58
18747,Hammersmith and Fulham,E01001894,Miscellaneous Crimes Against Society,1347,26.2,46.0,0.57
26596,Hounslow,E01034036,Miscellaneous Crimes Against Society,1820,26.2,39.3,0.67
7715,Bromley,E01000799,Miscellaneous Crimes Against Society,1813,26.0,36.1,0.72
27637,Islington,E01002794,Miscellaneous Crimes Against Society,2028,25.8,37.2,0.69
28777,Kensington and Chelsea,E01002902,Miscellaneous Crimes Against Society,1235,25.7,47.0,0.55
42301,Tower Hamlets,E01004277,Miscellaneous Crimes Against Society,1578,25.7,40.5,0.63
47280,Westminster,E01004733,Miscellaneous Crimes Against Society,2116,25.6,55.6,0.46
15702,Greenwich,E01001615,Miscellaneous Crimes Against Society,2049,25.3,36.9,0.69
8894,Camden,E01000922,Miscellaneous Crimes Against Society,1929,25.0,35.8,0.7
17879,Hackney,E01001830,Miscellaneous Crimes Against Society,1917,24.9,39.0,0.64
1261,Barnet,E01000129,Miscellaneous Crimes Against Society,1589,24.8,40.1,0.62
11613,Croydon,E01034152,Miscellaneous Crimes Against Society,1572,24.7,41.6,0.59
39117,Southwark,E01003937,Miscellaneous Crimes Against Society,1503,24.7,43.3,0.57
42635,Tower Hamlets,E01004322,Miscellaneous Crimes Against Society,1376,24.4,44.0,0.55
41759,Tower Hamlets,E01004203,Miscellaneous Crimes Against Society,1816,24.3,41.9,0.58
1373,Barnet,E01000141,Miscellaneous Crimes Against Society,1861,24.3,33.1,0.73
24656,Hillingdon,E01002505,Miscellaneous Crimes Against Society,1775,24.2,41.0,0.59
14681,Enfield,E01001513,Miscellaneous Crimes Against Society,1980,24.1,38.5,0.63
