,Major Category,LSOA,Borough,Mean,Standard Deviation,Normalised Deviation
28061,Public Order Offences,E01035710,Camden,32.8,27.3,1.2
27798,Public Order Offences,E01033936,Brent,38.2,32.1,1.19
27117,Public Order Offences,E01004247,Tower Hamlets,26.0,21.9,1.19
25073,Public Order Offences,E01002081,Haringey,26.4,22.1,1.19
27879,Public Order Offences,E01034205,Newham,59.5,49.8,1.19
24769,Public Order Offences,E01001762,Hackney,43.5,36.5,1.19
24696,Public Order Offences,E01001677,Greenwich,33.7,28.3,1.19
27907,Public Order Offences,E01034385,Bromley,44.8,37.5,1.19
27529,Public Order Offences,E01004699,Westminster,49.3,41.5,1.19
27615,Public Order Offences,E01032639,Southwark,51.8,43.5,1.19
24745,Public Order Offences,E01001734,Hackney,30.7,26.0,1.18
25977,Public Order Offences,E01003035,Lambeth,37.5,31.9,1.18
23626,Public Order Offences,E01000545,Brent,31.5,26.8,1.18
27562,Public Order Offences,E01004733,Westminster,49.8,42.1,1.18
24202,Public Order Offences,E01001155,Croydon,37.6,32.0,1.18
24887,Public Order Offences,E01001890,Hammersmith and Fulham,42.9,36.5,1.18
27673,Public Order Offences,E01033455,Brent,48.8,41.2,1.18
26226,Public Order Offences,E01003291,Lewisham,65.9,55.7,1.18
26444,Public Order Offences,E01003521,Newham,42.0,35.6,1.18
27863,Public Order Offences,E01034188,Greenwich,60.8,51.6,1.18
23991,Public Order Offences,E01000930,Camden,37.7,32.0,1.18
24878,Public Order Offences,E01001881,Hammersmith and Fulham,31.5,26.6,1.18
25687,Public Order Offences,E01002732,Islington,24.6,20.8,1.18
23998,Public Order Offences,E01000938,Camden,46.9,40.1,1.17
