,LSOA,Major Category,Borough,Population,Mean,Normalised Deviation,Regression,Flat
32482,E01003102,Violence Against the Person,Lambeth,1771,524.8,138389.76,0.388,2.5773195876288657
45759,E01004397,Violence Against the Person,Waltham Forest,2896,519.2,90444.64,0.269,3.717472118959108
20888,E01002002,Violence Against the Person,Haringey,1677,517.0,168542.0,0.401,2.4937655860349124
1407,E01000141,Violence Against the Person,Barnet,1861,514.3,118391.86,0.339,2.949852507374631
9580,E01000913,Violence Against the Person,Camden,1629,513.1,172504.22,0.429,2.331002331002331
51578,E01033913,Violence Against the Person,Barnet,1525,510.7,171799.48,0.453,2.2075055187637966
14079,E01001337,Violence Against the Person,Ealing,2105,510.3,171511.83,0.524,1.9083969465648853
29171,E01002794,Violence Against the Person,Islington,2028,509.3,112911.81,0.345,2.8985507246376816
21229,E01002034,Violence Against the Person,Haringey,2471,509.0,115848.4,0.278,3.597122302158273
5356,E01000510,Violence Against the Person,Brent,1700,508.3,118332.24,0.334,2.994011976047904
5510,E01000524,Violence Against the Person,Brent,2384,503.4,98062.32,0.266,3.7593984962406015
36893,E01003521,Violence Against the Person,Newham,2187,494.4,114799.68,0.308,3.2467532467532467
12121,E01001155,Violence Against the Person,Croydon,1787,493.8,112240.74,0.312,3.2051282051282053
9855,E01000939,Violence Against the Person,Camden,1446,490.6,135552.78,0.391,2.557544757033248
54823,E01035718,Violence Against the Person,Westminster,2659,489.3,152906.25,0.423,2.3640661938534278
52722,E01034205,Violence Against the Person,Newham,1565,487.9,128854.39,0.355,2.8169014084507045
30414,E01002912,Violence Against the Person,Kensington and Chelsea,1510,487.3,141999.22,0.359,2.785515320334262
8931,E01000850,Violence Against the Person,Camden,1411,487.3,132009.57,0.406,2.463054187192118
19722,E01001894,Violence Against the Person,Hammersmith and Fulham,1347,486.9,119047.05,0.352,2.8409090909090913
41304,E01003939,Violence Against the Person,Southwark,1962,486.9,120605.13,0.351,2.8490028490028494
19227,E01001848,Violence Against the Person,Hackney,2023,486.5,139868.75,0.419,2.3866348448687353
54284,E01035669,Violence Against the Person,Tower Hamlets,1347,486.0,106531.2,0.335,2.9850746268656714
41656,E01003981,Violence Against the Person,Southwark,1514,485.3,130788.35,0.36,2.7777777777777777
53888,E01035495,Violence Against the Person,Wandsworth,1332,484.5,117249.0,0.333,3.003003003003003
36244,E01003456,Violence Against the Person,Merton,1610,480.8,107362.64,0.344,2.906976744186047
24628,E01002353,Violence Against the Person,Havering,2060,478.0,100475.6,0.309,3.236245954692557
39632,E01003783,Violence Against the Person,Redbridge,2549,477.5,95070.25,0.263,3.8022813688212924
29545,E01002831,Violence Against the Person,Kensington and Chelsea,1748,469.1,118353.93,0.382,2.6178010471204187
9998,E01000956,Violence Against the Person,Camden,1515,468.6,105388.14,0.319,3.134796238244514
53041,E01034385,Violence Against the Person,Bromley,1439,468.1,125169.94,0.394,2.5380710659898478
49213,E01004731,Violence Against the Person,Westminster,1996,468.0,101696.4,0.31,3.2258064516129035
37300,E01003558,Violence Against the Person,Newham,1710,464.7,86805.96,0.277,3.6101083032490973
20008,E01001920,Violence Against the Person,Hammersmith and Fulham,1449,462.4,114212.8,0.381,2.6246719160104988
21196,E01002031,Violence Against the Person,Haringey,1873,461.7,82921.32,0.276,3.623188405797101
10922,E01001042,Violence Against the Person,Croydon,2161,461.1,90836.7,0.275,3.6363636363636362
29182,E01002795,Violence Against the Person,Islington,1946,461.0,87313.4,0.28,3.571428571428571
28544,E01002734,Violence Against the Person,Islington,2363,460.5,90902.7,0.271,3.6900369003690034
44846,E01004309,Violence Against the Person,Tower Hamlets,2843,460.4,74676.88,0.245,4.081632653061225
17687,E01001687,Violence Against the Person,Greenwich,1639,460.1,130576.38,0.346,2.8901734104046244
23858,E01002282,Violence Against the Person,Havering,1957,457.5,109800.0,0.3,3.3333333333333335
51776,E01033931,Violence Against the Person,Brent,1369,455.5,111050.9,0.322,3.1055900621118013
49367,E01004748,Violence Against the Person,Westminster,1234,454.8,122614.08,0.374,2.6737967914438503
28148,E01002696,Violence Against the Person,Islington,1788,454.3,102717.23,0.323,3.095975232198142
51270,E01033791,Violence Against the Person,Bexley,1386,453.3,147413.16,0.373,2.680965147453083
41205,E01003929,Violence Against the Person,Southwark,1981,452.2,89038.18,0.282,3.546099290780142
44428,E01004259,Violence Against the Person,Tower Hamlets,1752,451.6,100526.16,0.306,3.2679738562091503
37795,E01003603,Violence Against the Person,Newham,1939,449.3,107966.79,0.368,2.717391304347826
29435,E01002819,Violence Against the Person,Kensington and Chelsea,1106,448.9,138665.21,0.428,2.336448598130841
49675,E01032574,Violence Against the Person,Enfield,2097,447.7,120968.54,0.3,3.3333333333333335
25101,E01002397,Violence Against the Person,Hillingdon,1954,447.3,84808.08,0.28,3.571428571428571
47992,E01004609,Violence Against the Person,Wandsworth,2194,443.7,97924.59,0.315,3.1746031746031744
19777,E01001899,Violence Against the Person,Hammersmith and Fulham,1636,442.3,99030.97,0.332,3.012048192771084
50566,E01033491,Violence Against the Person,Islington,1925,442.2,104049.66,0.317,3.1545741324921135
42459,E01004062,Violence Against the Person,Southwark,2178,441.3,76742.07,0.263,3.8022813688212924
22230,E01002129,Violence Against the Person,Harrow,2691,438.9,81767.07,0.248,4.032258064516129
23495,E01002248,Violence Against the Person,Havering,1768,438.2,108805.06,0.292,3.4246575342465757
20635,E01001979,Violence Against the Person,Haringey,2265,436.6,80640.02,0.272,3.676470588235294
3794,E01000362,Violence Against the Person,Bexley,1904,433.8,95262.48,0.279,3.584229390681003
53140,E01034394,Violence Against the Person,Lewisham,1248,433.6,111695.36,0.37,2.7027027027027026
49224,E01004732,Violence Against the Person,Westminster,1313,429.6,120631.68,0.348,2.873563218390805
20349,E01001953,Violence Against the Person,Hammersmith and Fulham,1450,428.0,98397.2,0.358,2.793296089385475
1275,E01000129,Violence Against the Person,Barnet,1589,427.9,79888.93,0.282,3.546099290780142
21251,E01002037,Violence Against the Person,Haringey,1686,427.7,99996.26,0.319,3.134796238244514
13100,E01001247,Violence Against the Person,Ealing,2326,426.9,83117.43,0.256,3.90625
53976,E01035641,Violence Against the Person,Hackney,1403,426.8,109260.8,0.378,2.6455026455026456
32196,E01003076,Violence Against the Person,Lambeth,2660,426.8,90566.96,0.26,3.846153846153846
44043,E01004211,Violence Against the Person,Tower Hamlets,1615,422.5,85852.0,0.292,3.4246575342465757
26245,E01002505,Violence Against the Person,Hillingdon,1775,421.5,92519.25,0.317,3.1545741324921135
8392,E01000799,Violence Against the Person,Bromley,1813,421.1,76892.86,0.259,3.861003861003861
36552,E01003486,Violence Against the Person,Newham,1210,421.0,102345.1,0.362,2.7624309392265194
52106,E01034040,Violence Against the Person,Hounslow,1656,419.2,83085.44,0.295,3.3898305084745766
13243,E01001261,Violence Against the Person,Ealing,2294,418.7,71095.26,0.225,4.444444444444445
26333,E01002514,Violence Against the Person,Hillingdon,1965,418.5,82570.05,0.273,3.663003663003663
29743,E01002850,Violence Against the Person,Kensington and Chelsea,1451,416.8,95530.56,0.31,3.2258064516129035
31811,E01003041,Violence Against the Person,Lambeth,1547,416.7,90132.21,0.312,3.2051282051282053
47596,E01004570,Violence Against the Person,Wandsworth,2000,412.1,129687.87,0.476,2.100840336134454
9415,E01000898,Violence Against the Person,Camden,1599,412.0,85325.2,0.284,3.5211267605633805
7479,E01000714,Violence Against the Person,Bromley,2142,411.9,79537.89,0.293,3.4129692832764507
16444,E01001558,Violence Against the Person,Enfield,2006,410.5,83085.2,0.262,3.8167938931297707
28302,E01002711,Violence Against the Person,Islington,2052,409.9,74519.82,0.275,3.6363636363636362
21306,E01002042,Violence Against the Person,Haringey,1535,409.7,106276.18,0.317,3.1545741324921135
21691,E01002077,Violence Against the Person,Haringey,2262,409.6,80527.36,0.294,3.4013605442176873
51831,E01033936,Violence Against the Person,Brent,1654,408.6,90178.02,0.336,2.976190476190476
52326,E01034152,Violence Against the Person,Croydon,1572,407.9,97447.31,0.327,3.058103975535168
30975,E01002964,Violence Against the Person,Kingston upon Thames,2510,407.8,72955.42,0.278,3.597122302158273
