,Major Category,Borough,LSOA,Population,Mean,Normalised Deviation,Inverse Normalised Deviation
4202,Arson and Criminal Damage,Southwark,E01004067,2212,154.2,14155.56,7e-05
4083,Arson and Criminal Damage,Southwark,E01003929,1981,131.2,14418.88,7e-05
1030,Arson and Criminal Damage,Croydon,E01001013,2185,154.5,13518.75,7e-05
4963,Arson and Criminal Damage,Westminster,E01004763,4062,201.3,16566.99,6e-05
3943,Arson and Criminal Damage,Redbridge,E01033589,1930,161.2,15571.92,6e-05
2100,Arson and Criminal Damage,Haringey,E01002031,1873,159.5,18167.05,6e-05
4362,Arson and Criminal Damage,Sutton,E01034156,2706,179.3,17338.31,6e-05
4961,Arson and Criminal Damage,Westminster,E01004761,2434,194.5,20519.75,5e-05
4855,Arson and Criminal Damage,Wandsworth,E01035493,1654,166.4,20783.36,5e-05
2796,Arson and Criminal Damage,Islington,E01002695,1483,179.3,20476.06,5e-05
3155,Arson and Criminal Damage,Lambeth,E01003047,3596,199.4,19481.38,5e-05
738,Arson and Criminal Damage,Bromley,E01000721,1602,159.7,19339.67,5e-05
1219,Arson and Criminal Damage,Croydon,E01034150,2624,196.8,20034.24,5e-05
2916,Arson and Criminal Damage,Islington,E01035652,1271,195.8,26276.36,4e-05
1891,Arson and Criminal Damage,Hackney,E01033699,1409,190.0,26296.0,4e-05
4968,Arson and Criminal Damage,Westminster,E01033594,1514,206.7,27573.78,4e-05
4964,Arson and Criminal Damage,Westminster,E01004765,1862,196.2,23131.98,4e-05
1419,Arson and Criminal Damage,Ealing,E01034030,1834,227.7,32515.56,3e-05
1898,Arson and Criminal Damage,Hackney,E01033708,1883,267.7,36942.6,3e-05
4978,Arson and Criminal Damage,Westminster,E01035716,4402,277.0,31439.5,3e-05
108,Arson and Criminal Damage,Barking and Dagenham,E01034473,1294,269.1,45020.43,2e-05
4941,Arson and Criminal Damage,Westminster,E01004736,3094,290.7,48837.6,2e-05
4939,Arson and Criminal Damage,Westminster,E01004734,3398,405.6,52890.24,2e-05
