,Major Category,Borough,LSOA,Population,Mean,Normalised Deviation,Inverse Normalised Deviation
46899,Violence Against the Person,Southwark,E01004006,3728,70.8,3511.68,0.00028
44419,Violence Against the Person,Greenwich,E01001644,5310,78.2,3636.3,0.00028
44098,Violence Against the Person,Ealing,E01001323,6042,81.5,3618.6,0.00028
47208,Violence Against the Person,Tower Hamlets,E01004319,5080,73.3,3584.37,0.00028
47181,Violence Against the Person,Tower Hamlets,E01004287,4664,80.3,3621.53,0.00028
42793,Violence Against the Person,Barking and Dagenham,E01000052,4734,75.8,3721.78,0.00027
47427,Violence Against the Person,Waltham Forest,E01034485,4030,70.6,3699.44,0.00027
47404,Violence Against the Person,Waltham Forest,E01004448,3874,82.0,3755.6,0.00027
45497,Violence Against the Person,Hounslow,E01002660,4196,77.7,3768.45,0.00027
45538,Violence Against the Person,Hounslow,E01034037,3686,72.8,3698.24,0.00027
47385,Violence Against the Person,Waltham Forest,E01004427,3958,75.3,3674.64,0.00027
42974,Violence Against the Person,Barnet,E01000226,3500,68.2,3648.7,0.00027
43600,Violence Against the Person,Bromley,E01000835,3542,70.2,3643.38,0.00027
46452,Violence Against the Person,Newham,E01003580,4048,67.9,3707.34,0.00027
42943,Violence Against the Person,Barnet,E01000195,4008,72.1,3720.36,0.00027
46436,Violence Against the Person,Newham,E01003564,4740,74.7,3757.41,0.00027
46364,Violence Against the Person,Newham,E01003488,4008,75.1,3642.35,0.00027
45459,Violence Against the Person,Hounslow,E01002619,4244,72.6,3709.86,0.00027
47357,Violence Against the Person,Waltham Forest,E01004399,5688,71.3,3750.38,0.00027
47324,Violence Against the Person,Waltham Forest,E01004366,3914,72.3,3658.38,0.00027
47097,Violence Against the Person,Sutton,E01004182,3586,71.7,3699.72,0.00027
44028,Violence Against the Person,Ealing,E01001252,7428,80.6,3643.12,0.00027
43778,Violence Against the Person,Croydon,E01001009,4032,69.4,3636.56,0.00027
43370,Violence Against the Person,Brent,E01000617,4456,70.8,3901.08,0.00026
45915,Violence Against the Person,Lambeth,E01003054,4436,71.1,3803.85,0.00026
43378,Violence Against the Person,Brent,E01000625,3394,73.0,3796.0,0.00026
46795,Violence Against the Person,Richmond upon Thames,E01003888,4130,72.5,3871.5,0.00026
44958,Violence Against the Person,Harrow,E01002135,3990,75.3,3802.65,0.00026
44963,Violence Against the Person,Harrow,E01002140,3594,75.1,3920.22,0.00026
43641,Violence Against the Person,Camden,E01000872,5244,79.6,3844.68,0.00026
46130,Violence Against the Person,Lewisham,E01003268,3694,72.6,3855.06,0.00026
46406,Violence Against the Person,Newham,E01003534,4728,78.1,3850.33,0.00026
43241,Violence Against the Person,Brent,E01000477,4636,78.9,3897.66,0.00026
45989,Violence Against the Person,Lambeth,E01003130,3744,73.2,3813.72,0.00026
45321,Violence Against the Person,Hillingdon,E01002487,3828,74.8,3829.76,0.00026
45964,Violence Against the Person,Lambeth,E01003104,3462,74.4,3846.48,0.00026
45023,Violence Against the Person,Harrow,E01002202,4368,73.9,3864.97,0.00026
47139,Violence Against the Person,Tower Hamlets,E01004228,4122,75.6,3900.96,0.00026
46858,Violence Against the Person,Southwark,E01003953,3992,78.0,3775.2,0.00026
44076,Violence Against the Person,Ealing,E01001301,3776,72.1,3799.67,0.00026
