,Major Category,LSOA,Borough,Mean,Standard Deviation,Normalised Deviation
24369,Public Order Offences,E01001327,Ealing,29.4,38.0,0.77
27571,Public Order Offences,E01004744,Westminster,30.1,37.9,0.79
27265,Public Order Offences,E01004416,Waltham Forest,13.6,37.8,0.36
23455,Public Order Offences,E01000362,Bexley,52.9,37.8,1.4
26954,Public Order Offences,E01004067,Southwark,64.4,37.7,1.71
27613,Public Order Offences,E01032637,Southwark,12.6,37.7,0.33
25799,Public Order Offences,E01002851,Kensington and Chelsea,34.4,37.6,0.91
25769,Public Order Offences,E01002818,Kensington and Chelsea,34.1,37.6,0.91
27907,Public Order Offences,E01034385,Bromley,44.8,37.5,1.19
23924,Public Order Offences,E01000861,Camden,47.7,37.5,1.27
27575,Public Order Offences,E01004749,Westminster,45.1,37.5,1.2
24279,Public Order Offences,E01001234,Ealing,27.2,37.5,0.73
27696,Public Order Offences,E01033589,Redbridge,49.4,37.5,1.32
24861,Public Order Offences,E01001863,Hammersmith and Fulham,19.2,37.5,0.51
24863,Public Order Offences,E01001865,Hammersmith and Fulham,17.3,37.3,0.46
26745,Public Order Offences,E01003836,Richmond upon Thames,16.4,37.3,0.44
26901,Public Order Offences,E01004010,Southwark,48.5,37.2,1.3
27231,Public Order Offences,E01004382,Waltham Forest,18.6,37.2,0.5
24269,Public Order Offences,E01001224,Ealing,13.7,37.2,0.37
27496,Public Order Offences,E01004657,Westminster,41.6,37.2,1.12
27819,Public Order Offences,E01034036,Hounslow,51.1,37.1,1.38
26021,Public Order Offences,E01003079,Lambeth,36.6,37.1,0.99
23858,Public Order Offences,E01000790,Bromley,50.7,37.1,1.37
27246,Public Order Offences,E01004397,Waltham Forest,57.6,37.1,1.55
28020,Public Order Offences,E01035669,Tower Hamlets,44.3,37.0,1.2
24043,Public Order Offences,E01000987,Croydon,13.3,37.0,0.36
23594,Public Order Offences,E01000510,Brent,49.9,36.9,1.35
27138,Public Order Offences,E01004277,Tower Hamlets,38.6,36.9,1.05
25333,Public Order Offences,E01002353,Havering,47.4,36.8,1.29
27560,Public Order Offences,E01004731,Westminster,56.0,36.8,1.52
28069,Public Order Offences,E01035718,Westminster,47.6,36.8,1.29
26232,Public Order Offences,E01003299,Lewisham,32.8,36.8,0.89
