,LSOA,Major Category,Borough,Population,Mean,Normalised Deviation,Regression,Flat
14892,E01001412,Vehicle Offences,Enfield,1781,218.3,30496.51,0.217,4.6082949308755765
29973,E01002871,Vehicle Offences,Kensington and Chelsea,1454,218.1,31951.65,0.228,4.385964912280701
25089,E01002396,Vehicle Offences,Hillingdon,1861,217.8,40619.7,0.276,3.623188405797101
15167,E01001437,Vehicle Offences,Enfield,2324,215.9,28606.75,0.199,5.025125628140703
38509,E01003677,Vehicle Offences,Redbridge,1808,215.7,30499.98,0.216,4.62962962962963
46352,E01004453,Vehicle Offences,Waltham Forest,1830,215.7,28278.27,0.204,4.901960784313726
20238,E01001943,Vehicle Offences,Hammersmith and Fulham,2225,213.6,25098.0,0.18,5.555555555555555
53766,E01035484,Vehicle Offences,Hammersmith and Fulham,1686,213.5,32622.8,0.227,4.405286343612334
52666,E01034200,Vehicle Offences,Newham,1573,212.4,29374.92,0.212,4.716981132075472
14199,E01001348,Vehicle Offences,Ealing,1680,211.5,30857.85,0.227,4.405286343612334
26860,E01002570,Vehicle Offences,Hounslow,1631,211.0,36207.6,0.248,4.032258064516129
21239,E01002036,Vehicle Offences,Haringey,1861,209.9,34612.51,0.227,4.405286343612334
17488,E01001666,Vehicle Offences,Greenwich,2011,209.7,28665.99,0.206,4.8543689320388355
40368,E01003851,Vehicle Offences,Richmond upon Thames,1586,208.1,31402.29,0.234,4.273504273504273
13418,E01001277,Vehicle Offences,Ealing,2017,206.2,24826.48,0.187,5.347593582887701
40467,E01003860,Vehicle Offences,Richmond upon Thames,1728,204.6,30935.52,0.225,4.444444444444445
26178,E01002497,Vehicle Offences,Hillingdon,2475,203.9,26853.63,0.181,5.524861878453039
2077,E01000205,Vehicle Offences,Barnet,1506,203.5,28062.65,0.212,4.716981132075472
53656,E01034608,Vehicle Offences,Hillingdon,2396,203.5,31705.3,0.242,4.132231404958678
52644,E01034198,Vehicle Offences,Greenwich,2335,203.0,22208.2,0.169,5.9171597633136095
47958,E01004606,Vehicle Offences,Wandsworth,1656,202.5,27256.5,0.206,4.8543689320388355
3287,E01000316,Vehicle Offences,Barnet,2280,201.8,27081.56,0.208,4.8076923076923075
44955,E01004323,Vehicle Offences,Tower Hamlets,1651,200.9,33329.31,0.25,4.0
50983,E01033712,Vehicle Offences,Hackney,1539,199.1,26380.75,0.205,4.878048780487805
12307,E01001172,Vehicle Offences,Croydon,2218,198.6,24129.9,0.188,5.319148936170213
54745,E01035711,Vehicle Offences,Camden,2400,196.8,25426.56,0.195,5.128205128205128
39763,E01003795,Vehicle Offences,Redbridge,1260,196.5,26429.25,0.209,4.784688995215311
47936,E01004604,Vehicle Offences,Wandsworth,1573,196.3,25990.12,0.206,4.8543689320388355
26266,E01002507,Vehicle Offences,Hillingdon,1981,196.3,23968.23,0.189,5.291005291005291
30413,E01002912,Vehicle Offences,Kensington and Chelsea,1510,196.3,26794.95,0.212,4.716981132075472
21228,E01002034,Vehicle Offences,Haringey,2471,196.2,25290.18,0.185,5.405405405405405
8369,E01000797,Vehicle Offences,Bromley,1647,196.1,28512.94,0.222,4.504504504504505
53326,E01034484,Vehicle Offences,Redbridge,1701,195.0,24492.0,0.193,5.181347150259067
36386,E01003469,Vehicle Offences,Merton,1662,192.5,26488.0,0.214,4.672897196261682
25650,E01002449,Vehicle Offences,Hillingdon,2132,192.3,29748.81,0.225,4.444444444444445
52754,E01034208,Vehicle Offences,Newham,1927,191.7,23234.04,0.188,5.319148936170213
36848,E01003517,Vehicle Offences,Newham,1915,191.7,24556.77,0.182,5.4945054945054945
45538,E01004377,Vehicle Offences,Waltham Forest,1872,191.4,25762.44,0.209,4.784688995215311
46033,E01004422,Vehicle Offences,Waltham Forest,2628,191.2,19100.88,0.152,6.578947368421053
21591,E01002068,Vehicle Offences,Haringey,2261,191.0,24066.0,0.195,5.128205128205128
16014,E01001518,Vehicle Offences,Enfield,1690,187.6,23356.2,0.193,5.181347150259067
48805,E01004693,Vehicle Offences,Westminster,1206,186.3,25988.85,0.209,4.784688995215311
26563,E01002540,Vehicle Offences,Hillingdon,1828,186.0,24347.4,0.201,4.975124378109452
46605,E01004477,Vehicle Offences,Wandsworth,1651,186.0,22636.2,0.189,5.291005291005291
21778,E01002086,Vehicle Offences,Haringey,1517,185.7,23732.46,0.195,5.128205128205128
52897,E01034221,Vehicle Offences,Newham,1784,185.6,26132.48,0.219,4.566210045662101
21877,E01002095,Vehicle Offences,Haringey,1566,185.6,24517.76,0.202,4.9504950495049505
38421,E01003669,Vehicle Offences,Redbridge,1553,184.5,21623.4,0.181,5.524861878453039
15937,E01001511,Vehicle Offences,Enfield,1889,184.3,21765.83,0.183,5.46448087431694
4695,E01000447,Vehicle Offences,Bexley,1954,184.2,23411.82,0.197,5.0761421319796955
48915,E01004703,Vehicle Offences,Westminster,1997,183.5,21836.5,0.184,5.434782608695652
21635,E01002072,Vehicle Offences,Haringey,1903,183.3,24268.92,0.19,5.2631578947368425
9128,E01000872,Vehicle Offences,Camden,1748,182.7,24098.13,0.198,5.05050505050505
49652,E01032572,Vehicle Offences,Ealing,1601,182.6,21747.66,0.184,5.434782608695652
50928,E01033706,Vehicle Offences,Hackney,1427,182.2,21845.78,0.186,5.376344086021505
26101,E01002490,Vehicle Offences,Hillingdon,2135,182.1,22525.77,0.191,5.2356020942408374
26937,E01002577,Vehicle Offences,Hounslow,1662,181.6,23335.6,0.196,5.1020408163265305
