,LSOA,Major Category,Borough,Population,Mean,Normalised Deviation,Regression,Flat
50982,E01033712,Theft,Hackney,1539,1122.2,456959.84,0.631,1.5847860538827259
53435,E01034581,Theft,Merton,1499,1120.7,467556.04,0.646,1.547987616099071
53974,E01035641,Theft,Hackney,1403,1114.8,469776.72,0.611,1.6366612111292962
31809,E01003041,Theft,Lambeth,1547,1113.0,549933.3,0.746,1.3404825737265416
48716,E01004682,Theft,Westminster,1292,1106.4,549106.32,0.773,1.2936610608020698
42116,E01004031,Theft,Southwark,2610,1103.0,350533.4,0.437,2.288329519450801
21194,E01002031,Theft,Haringey,1873,1083.8,346816.0,0.47,2.127659574468085
20886,E01002002,Theft,Haringey,1677,1079.7,1057458.18,1.441,0.6939625260235947
8951,E01000853,Theft,Camden,1430,1072.8,455296.32,0.66,1.5151515151515151
48782,E01004691,Theft,Westminster,1207,1046.8,476922.08,0.71,1.4084507042253522
29180,E01002795,Theft,Islington,1946,1041.0,361331.1,0.54,1.8518518518518516
30104,E01002883,Theft,Kensington and Chelsea,1494,1032.4,698521.84,1.027,0.9737098344693282
20215,E01001941,Theft,Hammersmith and Fulham,1546,1026.9,536760.63,0.657,1.5220700152207
49167,E01004727,Theft,Westminster,1548,1019.9,530449.99,0.739,1.3531799729364005
45702,E01004392,Theft,Waltham Forest,2573,1019.0,308757.0,0.468,2.1367521367521367
32480,E01003102,Theft,Lambeth,1771,1018.4,435671.52,0.665,1.5037593984962405
13098,E01001247,Theft,Ealing,2326,1017.1,348967.01,0.435,2.2988505747126435
3792,E01000362,Theft,Bexley,1904,1013.0,318385.9,0.491,2.0366598778004072
28905,E01002770,Theft,Islington,1894,1012.8,503665.44,0.777,1.287001287001287
54854,E01035721,Theft,Westminster,2336,1006.0,400287.4,0.622,1.607717041800643
9028,E01000861,Theft,Camden,1380,1001.3,389205.31,0.603,1.658374792703151
30434,E01002914,Theft,Kensington and Chelsea,1199,1000.3,388016.37,0.561,1.7825311942959
2252,E01000221,Theft,Barnet,1392,998.6,552525.38,0.698,1.4326647564469914
9853,E01000939,Theft,Camden,1446,993.8,423955.08,0.662,1.510574018126888
49035,E01004715,Theft,Westminster,1854,991.8,420225.66,0.627,1.594896331738437
21172,E01002029,Theft,Haringey,2138,986.9,432953.03,0.684,1.461988304093567
54766,E01035713,Theft,Kensington and Chelsea,2039,961.3,347798.34,0.56,1.7857142857142856
46571,E01004474,Theft,Wandsworth,1992,956.5,277863.25,0.448,2.232142857142857
31545,E01003017,Theft,Lambeth,1674,947.7,376995.06,0.613,1.6313213703099512
9611,E01000916,Theft,Camden,1872,931.7,345753.87,0.57,1.7543859649122808
28465,E01002726,Theft,Islington,1714,931.4,458807.64,0.716,1.3966480446927374
51081,E01033737,Theft,Greenwich,1893,920.1,283942.86,0.482,2.074688796680498
29741,E01002850,Theft,Kensington and Chelsea,1451,909.7,342865.93,0.581,1.721170395869191
17245,E01001641,Theft,Greenwich,1856,907.1,299887.26,0.51,1.9607843137254901
15958,E01001513,Theft,Enfield,1980,905.2,376925.28,0.623,1.6051364365971108
35439,E01003383,Theft,Merton,1615,896.4,300831.84,0.497,2.0120724346076457
50553,E01033490,Theft,Islington,1406,892.8,415152.0,0.711,1.4064697609001406
34735,E01003318,Theft,Lewisham,2076,892.8,231413.76,0.403,2.4813895781637716
9842,E01000938,Theft,Camden,1383,891.9,323224.56,0.565,1.7699115044247788
29246,E01002801,Theft,Islington,1454,889.6,369539.84,0.557,1.7953321364452421
48540,E01004660,Theft,Westminster,1417,887.5,359703.75,0.632,1.5822784810126582
20006,E01001920,Theft,Hammersmith and Fulham,1449,882.1,335815.47,0.537,1.8621973929236497
15298,E01001450,Theft,Enfield,2365,880.0,296208.0,0.475,2.1052631578947367
8291,E01000790,Theft,Bromley,2290,877.0,298881.6,0.529,1.8903591682419658
44690,E01004293,Theft,Tower Hamlets,2031,873.5,409060.05,0.731,1.3679890560875514
7070,E01000677,Theft,Bromley,1899,871.4,357099.72,0.593,1.6863406408094437
