,Borough,LSOA,Major Category,Population,Mean,Standard Deviation,Normalised Deviation
6274,Brent,E01033938,Arson and Criminal Damage,2554,128.5,1.00025,10434.2
7443,Bromley,E01000769,Arson and Criminal Damage,2760,118.5,1.00025,9385.2
9776,Croydon,E01001013,Arson and Criminal Damage,2185,154.5,1.00024,13518.75
30143,Lambeth,E01003047,Arson and Criminal Damage,3596,199.4,1.00022,19481.38
40195,Southwark,E01004067,Arson and Criminal Damage,2212,154.2,1.00021,14155.56
41697,Sutton,E01034156,Arson and Criminal Damage,2706,179.3,1.0002,17338.31
47673,Westminster,E01035716,Arson and Criminal Damage,4402,277.0,1.00019,31439.5
47287,Westminster,E01004734,Arson and Criminal Damage,3398,405.6,1.00019,52890.24
11590,Croydon,E01034150,Arson and Criminal Damage,2624,196.8,1.00019,20034.24
8148,Bromley,E01034386,Arson and Criminal Damage,2448,126.9,1.00018,11509.83
37761,Redbridge,E01033589,Arson and Criminal Damage,1930,161.2,1.00018,15571.92
47505,Westminster,E01004761,Arson and Criminal Damage,2434,194.5,1.00017,20519.75
26710,Islington,E01002695,Arson and Criminal Damage,1483,179.3,1.00012,20476.06
47535,Westminster,E01004765,Arson and Criminal Damage,1862,196.2,1.00012,23131.98
20082,Haringey,E01002031,Arson and Criminal Damage,1873,159.5,1.00011,18167.05
18154,Hackney,E01033708,Arson and Criminal Damage,1883,267.7,1.0001,36942.6
39046,Southwark,E01003929,Arson and Criminal Damage,1981,131.2,1.0001,14418.88
47575,Westminster,E01033594,Arson and Criminal Damage,1514,206.7,1.00009,27573.78
46469,Wandsworth,E01035493,Arson and Criminal Damage,1654,166.4,1.00009,20783.36
7002,Bromley,E01000721,Arson and Criminal Damage,1602,159.7,1.00009,19339.67
13500,Ealing,E01034030,Arson and Criminal Damage,1834,227.7,1.00008,32515.56
27890,Islington,E01035652,Arson and Criminal Damage,1271,195.8,1.00008,26276.36
18084,Hackney,E01033699,Arson and Criminal Damage,1409,190.0,1.00007,26296.0
1061,Barking and Dagenham,E01034473,Arson and Criminal Damage,1294,269.1,1.00006,45020.43
47307,Westminster,E01004736,Arson and Criminal Damage,3094,290.7,1.00006,48837.6
