,Borough,Major Category,LSOA,Population,Mean,Range,Normalised Deviation,Regression
27818,Islington,Violence Against the Person,E01002698,4016,65.8,6.103343521441229e-05,3211.04,0.07
37730,Redbridge,Violence Against the Person,E01003685,3844,70.1,6.0928832016833905e-05,3568.09,0.073
19419,Hammersmith and Fulham,Violence Against the Person,E01001946,3784,69.3,6.0670194517137444e-05,3264.03,0.068
40392,Southwark,Violence Against the Person,E01003915,3708,76.6,6.050913963325047e-05,3921.92,0.077
43244,Tower Hamlets,Violence Against the Person,E01004280,3992,82.5,6.048484896872728e-05,4372.5,0.08
20725,Haringey,Violence Against the Person,E01001973,5028,69.3,6.046176219796402e-05,3236.31,0.066
43211,Tower Hamlets,Violence Against the Person,E01004233,4424,66.6,6.038765857421719e-05,3050.28,0.069
36194,Newham,Violence Against the Person,E01003583,4202,63.4,6.0252364619112564e-05,3138.3,0.075
44705,Waltham Forest,Violence Against the Person,E01004408,3432,71.6,5.991620000434992e-05,3272.12,0.07
4469,Bexley,Violence Against the Person,E01000367,4606,70.1,5.973284960875283e-05,3869.52,0.076
47663,Westminster,Violence Against the Person,E01004702,8493,79.2,5.957491629128512e-05,3326.4,0.061
3106,Barnet,Violence Against the Person,E01000243,4304,72.4,5.944751500767378e-05,3439.0,0.065
36103,Newham,Violence Against the Person,E01003488,4008,75.1,5.9298714427590696e-05,3642.35,0.071
33154,Lewisham,Violence Against the Person,E01003226,3670,68.9,5.918400175942201e-05,3507.01,0.073
31493,Lambeth,Violence Against the Person,E01003111,4000,67.9,5.8910162002945506e-05,3320.31,0.072
34410,Merton,Violence Against the Person,E01003413,4166,70.9,5.8758815217804526e-05,3566.27,0.073
1082,Barking and Dagenham,Violence Against the Person,E01000076,4350,67.5,5.8585856928884855e-05,3381.75,0.072
43240,Tower Hamlets,Violence Against the Person,E01004274,3926,74.5,5.855331961897481e-05,3941.05,0.08
40467,Southwark,Violence Against the Person,E01004006,3728,70.8,5.8505962488902147e-05,3511.68,0.075
26612,Hounslow,Violence Against the Person,E01002619,4244,72.6,5.8457301296471875e-05,3709.86,0.076
27896,Islington,Violence Against the Person,E01002781,3502,74.9,5.84445918676805e-05,4134.48,0.083
31487,Lambeth,Violence Against the Person,E01003104,3462,74.4,5.816532376506002e-05,3846.48,0.078
31442,Lambeth,Violence Against the Person,E01003058,3968,75.8,5.8164762158471054e-05,4153.84,0.081
